Date,No
2018-01-01,181.62405
2018-01-02,164.32655
2018-01-03,161.44363
2018-01-04,161.44363
2018-01-05,175.85822
2018-01-06,197.48021
2018-01-07,214.77771
2018-01-08,188.8669
2018-01-09,168.68266
2018-01-10,173.00795
2018-01-11,155.70717
2018-01-12,158.59064
2018-01-13,175.89142
2018-01-14,197.51747
2018-01-15,177.30312
2018-01-16,174.42014
2018-01-17,168.65417
2018-01-18,171.53716
2018-01-19,168.65417
2018-01-20,181.62767
2018-01-21,207.57445
2018-01-22,196.34439
2018-01-23,186.23834
2018-01-24,177.5761
2018-01-25,174.68869
2018-01-26,196.34439
2018-01-27,213.66888
2018-01-28,232.43716
2018-01-29,199.62108
2018-01-30,183.70918
2018-01-31,188.04886
2018-02-01,188.04886
2018-02-02,195.2816
2018-02-03,211.19331
2018-02-04,240.12387
2018-02-05,189.54219
2018-02-06,172.17955
2018-02-07,179.41408
2018-02-08,169.28578
2018-02-09,182.30785
2018-02-10,215.58633
2018-02-11,225.71443
2018-02-12,192.09506
2018-02-13,176.20761
2018-02-14,171.87454
2018-02-15,179.09625
2018-02-16,181.9849
2018-02-17,212.31578
2018-02-18,226.759
2018-02-19,482.37024
2018-02-20,443.02277
2018-02-21,428.44968
2018-02-22,400.76086
2018-02-23,402.21808
2018-02-24,402.21808
2018-02-25,394.93143
2018-02-26,195.71536
2018-02-27,198.63647
2018-02-28,188.41246
2018-03-01,188.41246
2018-03-02,185.49133
2018-03-03,207.39984
2018-03-04,248.29555
2018-03-05,219.60411
2018-03-06,219.60411
2018-03-07,206.42798
2018-03-08,197.64381
2018-03-09,187.39554
2018-03-10,206.42798
2018-03-11,225.46022
2018-03-12,216.69302
2018-03-13,197.65929
2018-03-14,184.48192
2018-03-15,177.16112
2018-03-16,184.48192
2018-03-17,207.90817
2018-03-18,228.40614
2018-03-19,200.66603
2018-03-20,168.44214
2018-03-21,172.83638
2018-03-22,178.69524
2018-03-23,184.5541
2018-03-24,202.13065
2018-03-25,228.4955
2018-03-26,181.50748
2018-03-27,178.57994
2018-03-28,172.72487
2018-03-29,172.72487
2018-03-30,187.36255
2018-03-31,197.60902
2018-04-01,225.42053
2018-04-02,219.60841
2018-04-03,181.54298
2018-04-04,181.54298
2018-04-05,175.68677
2018-04-06,194.71939
2018-04-07,197.64769
2018-04-08,219.60841
2018-04-09,203.693
2018-04-10,196.36581
2018-04-11,187.57332
2018-04-12,194.9003
2018-04-13,196.36581
2018-04-14,218.34714
2018-04-15,218.34714
2018-04-16,175.90671
2018-04-17,168.57718
2018-04-18,174.44072
2018-04-19,186.16783
2018-04-20,206.69044
2018-04-21,215.48576
2018-04-22,218.41754
2018-04-23,196.60567
2018-04-24,168.72867
2018-04-25,171.66309
2018-04-26,181.93361
2018-04-27,196.60567
2018-04-28,214.21213
2018-04-29,239.15471
2018-04-30,176.216
2018-05-01,164.46828
2018-05-02,164.46828
2018-05-03,186.49516
2018-05-04,199.71144
2018-05-05,217.33302
2018-05-06,224.67545
2018-05-07,179.33461
2018-05-08,170.5149
2018-05-09,164.63507
2018-05-10,189.62419
2018-05-11,189.62419
2018-05-12,204.32393
2018-05-13,214.61351
2018-05-14,181.01582
2018-05-15,169.24245
2018-05-16,176.60089
2018-05-17,166.29909
2018-05-18,195.73254
2018-05-19,226.63777
2018-05-20,223.69443
2018-05-21,188.47508
2018-05-22,175.22285
2018-05-23,166.38809
2018-05-24,169.33301
2018-05-25,172.27792
2018-05-26,188.47508
2018-05-27,225.28668
2018-05-28,200.40471
2018-05-29,175.35405
2018-05-30,181.2483
2018-05-31,181.2483
2018-06-01,188.61621
2018-06-02,188.61621
2018-06-03,223.98172
2018-06-04,175.2842
2018-06-05,172.33824
2018-06-06,185.59512
2018-06-07,172.33824
2018-06-08,185.59512
2018-06-09,222.4196
2018-06-10,228.31151
2018-06-11,191.50563
2018-06-12,185.61316
2018-06-13,185.61316
2018-06-14,191.50563
2018-06-15,185.61316
2018-06-16,210.65628
2018-06-17,237.17241
2018-06-18,196.2734
2018-06-19,175.61305
2018-06-20,185.94333
2018-06-21,175.61305
2018-06-22,191.84628
2018-06-23,215.45811
2018-06-24,224.31255
2018-06-25,192.70291
2018-06-26,170.6378
2018-06-27,170.6378
2018-06-28,167.69577
2018-06-29,167.69577
2018-06-30,207.41324
2018-07-01,239.77554
2018-07-02,219.28409
2018-07-03,201.74138
2018-07-04,191.50803
