Date,No
2018-01-01,355.70734
2018-01-02,328.96243
2018-01-03,339.6604
2018-01-04,328.96243
2018-01-05,355.70734
2018-01-06,371.75464
2018-01-07,377.1036
2018-01-08,396.4352
2018-01-09,358.9346
2018-01-10,348.22015
2018-01-11,340.18414
2018-01-12,350.8986
2018-01-13,345.54135
2018-01-14,364.29184
2018-01-15,340.28598
2018-01-16,329.5683
2018-01-17,340.28598
2018-01-18,340.28598
2018-01-19,340.28598
2018-01-20,340.28598
2018-01-21,369.75974
2018-01-22,353.9195
2018-01-23,345.8757
2018-01-24,337.83224
2018-01-25,345.8757
2018-01-26,340.51328
2018-01-27,378.0505
2018-01-28,388.77533
2018-01-29,397.62622
2018-01-30,365.38626
2018-01-31,362.6998
2018-02-01,346.57947
2018-02-02,368.07312
2018-02-03,394.93973
2018-02-04,416.433
2018-02-05,341.02612
2018-02-06,330.28513
2018-02-07,316.8591
2018-02-08,324.91464
2018-02-09,324.91464
2018-02-10,357.13757
2018-02-11,362.50842
2018-02-12,385.87952
2018-02-13,353.72293
2018-02-14,340.32416
2018-02-15,332.2852
2018-02-16,332.2852
2018-02-17,359.08237
2018-02-18,369.8012
2018-02-19,712.28076
2018-02-20,661.018
2018-02-21,625.9438
2018-02-22,623.2456
2018-02-23,628.64166
2018-02-24,636.7359
2018-02-25,631.33984
2018-02-26,419.6046
2018-02-27,389.82608
2018-02-28,362.75485
2018-03-01,370.8764
2018-03-02,370.8764
2018-03-03,389.82608
2018-03-04,416.8973
2018-03-05,401.5722
2018-03-06,366.2992
2018-03-07,366.2992
2018-03-08,352.7324
2018-03-09,385.29227
2018-03-10,398.85907
2018-03-11,415.139
2018-03-12,399.13058
2018-03-13,377.40924
2018-03-14,377.40924
2018-03-15,363.8332
2018-03-16,374.69388
2018-03-17,396.41525
2018-03-18,415.42163
2018-03-19,377.54855
2018-03-20,377.54855
2018-03-21,355.81882
2018-03-22,350.38647
2018-03-23,361.25116
2018-03-24,396.56158
2018-03-25,407.42627
2018-03-26,371.98477
2018-03-27,369.26938
2018-03-28,350.26273
2018-03-29,352.9781
2018-03-30,363.83896
2018-03-31,388.27606
2018-04-01,396.4215
2018-04-02,380.21243
2018-04-03,366.6336
2018-04-04,361.20166
2018-04-05,355.77005
2018-04-06,344.90686
2018-04-07,363.91763
2018-04-08,374.78082
2018-04-09,396.81454
2018-04-10,380.5071
2018-04-11,372.35358
2018-04-12,358.7639
2018-04-13,364.19968
2018-04-14,383.2252
2018-04-15,391.37872
2018-04-16,361.4378
2018-04-17,356.00266
2018-04-18,342.41495
2018-04-19,356.00266
2018-04-20,353.28525
2018-04-21,366.8733
2018-04-22,366.8733
2018-04-23,369.1759
2018-04-24,336.6016
2018-04-25,325.7435
2018-04-26,320.31442
2018-04-27,333.8869
2018-04-28,352.88876
