Date,No
2018-01-01,189.00008
2018-01-02,180.27701
2018-01-03,171.55394
2018-01-04,180.27701
2018-01-05,180.27701
2018-01-06,180.27701
2018-01-07,235.52313
2018-01-08,225.58379
2018-01-09,186.2885
2018-01-10,174.64548
2018-01-11,167.3685
2018-01-12,170.27925
2018-01-13,170.27925
2018-01-14,189.19925
2018-01-15,195.07257
2018-01-16,174.69188
2018-01-17,180.51494
2018-01-18,170.3245
2018-01-19,170.3245
2018-01-20,189.24951
2018-01-21,241.65703
2018-01-22,195.086
2018-01-23,177.61563
2018-01-24,174.7039
2018-01-25,174.7039
2018-01-26,171.79218
2018-01-27,209.64465
2018-01-28,234.39444
2018-01-29,180.56819
2018-01-30,184.93669
2018-01-31,180.56819
2018-02-01,179.11191
2018-02-02,186.39297
2018-02-03,215.51685
2018-02-04,238.81595
2018-02-05,180.3356
2018-02-06,186.15288
2018-02-07,180.3356
2018-02-08,167.24664
2018-02-09,174.51833
2018-02-10,199.24182
2018-02-11,228.32819
2018-02-12,175.40599
2018-02-13,172.50671
2018-02-14,175.40599
2018-02-15,165.25864
2018-02-16,163.8089
2018-02-17,191.35207
2018-02-18,218.89525
2018-02-19,365.9829
2018-02-20,329.53055
2018-02-21,284.3294
2018-02-22,284.3294
2018-02-23,295.9942
2018-02-24,317.86575
2018-02-25,317.86575
2018-02-26,194.50227
2018-02-27,194.50227
2018-02-28,181.34058
2018-03-01,190.11511
2018-03-02,191.57744
2018-03-03,219.36356
2018-03-04,248.612
2018-03-05,209.4154
2018-03-06,190.37758
2018-03-07,193.30646
2018-03-08,190.37758
2018-03-09,190.37758
2018-03-10,215.27318
2018-03-11,234.31082
2018-03-12,178.80005
2018-03-13,177.33438
2018-03-14,181.7312
2018-03-15,181.7312
2018-03-16,177.33438
2018-03-17,203.71487
2018-03-18,249.14754
2018-03-19,209.5567
2018-03-20,190.50601
2018-03-21,190.50601
2018-03-22,178.78258
2018-03-23,186.10963
2018-03-24,215.41841
2018-03-25,237.39977
2018-03-26,206.54507
2018-03-27,178.7127
2018-03-28,196.29099
2018-03-29,186.0369
2018-03-30,194.82603
2018-03-31,228.51784
2018-04-01,253.42049
2018-04-02,178.73541
2018-04-03,186.06053
2018-04-04,178.73541
2018-04-05,186.06053
2018-04-06,178.73541
2018-04-07,215.36159
2018-04-08,244.66243
2018-04-09,205.35075
2018-04-10,202.41718
2018-04-11,202.41718
2018-04-12,189.21597
2018-04-13,199.4836
2018-04-14,208.28433
2018-04-15,252.28802
2018-04-16,197.72694
2018-04-17,197.72694
2018-04-18,174.29248
2018-04-19,171.36319
2018-04-20,197.72694
2018-04-21,206.51479
2018-04-22,257.77716
2018-04-23,175.65411
2018-04-24,168.33511
2018-04-25,181.50925
2018-04-26,169.79898
2018-04-27,165.40755
2018-04-28,190.29195
2018-04-29,229.81418
2018-04-30,175.606
2018-05-01,178.53278
2018-05-02,178.53278
2018-05-03,165.36224
2018-05-04,175.606
2018-05-05,213.65393
2018-05-06,219.50746
2018-05-07,215.44157
2018-05-08,186.12964
2018-05-09,190.52649
2018-05-10,177.33612
2018-05-11,180.26729
2018-05-12,209.57922
2018-05-13,233.02861
2018-05-14,190.50229
2018-05-15,174.3828
2018-05-16,162.65958
2018-05-17,177.3136
2018-05-18,171.452
2018-05-19,206.6218
2018-05-20,227.1374
2018-05-21,184.70564
2018-05-22,180.3078
2018-05-23,180.3078
2018-05-24,168.58047
2018-05-25,178.84198
2018-05-26,209.62631
2018-05-27,243.3423
2018-05-28,190.63818
2018-05-29,186.23875
2018-05-30,177.44008
2018-05-31,168.6414
2018-06-01,183.30586
2018-06-02,219.9671
2018-06-03,234.63156
2018-06-04,200.71507
2018-06-05,194.8546
2018-06-06,174.3436
2018-06-07,171.41345
2018-06-08,196.31976
2018-06-09,209.50551
2018-06-10,249.06233
2018-06-11,189.28986
2018-06-12,195.15932
2018-06-13,192.22458
2018-06-14,171.6815
2018-06-15,181.95314
2018-06-16,215.70258
2018-06-17,267.06018
2018-06-18,195.47925
2018-06-19,189.60019
2018-06-20,189.60019
2018-06-21,164.61423
2018-06-22,177.84204
2018-06-23,211.6468
2018-06-24,267.498
2018-06-25,213.35129
2018-06-26,195.69446
2018-06-27,189.80891
2018-06-28,185.39485
2018-06-29,197.16594
2018-06-30,238.36475
2018-07-01,248.66455
2018-07-02,203.58551
2018-07-03,193.33292
2018-07-04,197.72694
2018-07-05,178.68651
2018-07-06,181.61578
2018-07-07,222.62576
2018-07-08,248.9893
2018-07-09,196.6306
2018-07-10,190.76105
2018-07-11,196.6306
2018-07-12,170.21756
2018-07-13,174.61964
2018-07-14,212.772
2018-07-15,252.39146
2018-07-16,189.46535
2018-07-17,198.27786
2018-07-18,186.5279
2018-07-19,186.5279
2018-07-20,186.5279
2018-07-21,195.34023
2018-07-22,243.80818
2018-07-23,196.99901
2018-07-24,180.82736
2018-07-25,179.35732
2018-07-26,174.94681
2018-07-27,189.64821
2018-07-28,214.64069
2018-07-29,248.45401
2018-07-30,195.56877
2018-07-31,173.51224
2018-08-01,179.39401
2018-08-02,164.68959
2018-08-03,179.39401
2018-08-04,189.687
2018-08-05,248.50484
2018-08-06,213.61497
2018-08-07,179.73117
2018-08-08,191.5168
2018-08-09,191.5168
2018-08-10,179.73117
2018-08-11,191.5168
2018-08-12,231.29343
2018-08-13,178.35663
2018-08-14,172.46054
2018-08-15,181.30467
2018-08-16,169.5125
2018-08-17,172.46054
2018-08-18,216.68135
2018-08-19,232.8955
2018-08-20,178.36702
2018-08-21,181.31523
2018-08-22,172.4706
2018-08-23,173.9448
2018-08-24,187.21165
2018-08-25,210.79756
2018-08-26,249.12434
2018-08-27,181.40329
2018-08-28,169.6047
2018-08-29,181.40329
2018-08-30,181.40329
2018-08-31,178.45364
2018-09-01,206.47537
2018-09-02,240.3964
2018-09-03,188.50807
2018-09-04,182.6172
2018-09-05,176.72633
2018-09-06,179.67177
2018-09-07,173.7809
2018-09-08,194.39894
2018-09-09,238.58049
2018-09-10,219.63367
2018-09-11,188.67853
2018-09-12,173.93803
2018-09-13,169.5158
2018-09-14,172.4639
2018-09-15,181.30818
2018-09-16,210.78937
2018-09-17,206.53552
2018-09-18,187.35715
2018-09-19,181.45613
2018-09-20,178.50563
2018-09-21,191.78299
2018-09-22,222.76338
2018-09-23,243.41692
2018-09-24,205.5878
2018-09-25,205.5878
2018-09-26,195.23438
2018-09-27,205.5878
2018-09-28,205.5878
2018-09-29,233.6896
2018-09-30,245.52197
2018-10-01,199.56723
2018-10-02,181.82776
2018-10-03,177.39304
2018-10-04,181.82776
2018-10-05,183.30612
2018-10-06,218.7847
2018-10-07,248.35016
2018-10-08,193.42885
2018-10-09,187.52263
2018-10-10,183.09306
2018-10-11,168.3275
2018-10-12,181.61641
2018-10-13,218.53038
2018-10-14,230.34283
2018-10-15,188.7152
2018-10-16,178.39474
2018-10-17,169.54872
2018-10-18,163.65138
2018-10-19,173.97183
2018-10-20,203.45854
2018-10-21,231.47102
2018-10-22,179.44817
2018-10-23,154.44302
2018-10-24,164.73932
2018-10-25,145.6177
2018-10-26,148.55948
2018-10-27,170.62285
2018-10-28,207.39508
2018-10-29,184.67136
2018-10-30,165.61789
2018-10-31,162.6866
2018-11-01,171.48047
2018-11-02,165.61789
2018-11-03,168.54918
2018-11-04,203.72484
2018-11-05,175.11974
2018-11-06,175.11974
2018-11-07,157.60777
2018-11-08,160.52643
2018-11-09,160.52643
2018-11-10,178.03839
2018-11-11,198.46901
2018-11-12,164.43185
2018-11-13,171.70769
2018-11-14,148.42532
2018-11-15,155.70097
2018-11-16,171.70769
2018-11-17,171.70769
2018-11-18,215.36214
2018-11-19,178.42502
2018-11-20,165.36963
2018-11-21,162.46841
2018-11-22,162.46841
2018-11-23,165.36963
2018-11-24,174.07329
2018-11-25,226.29523
2018-11-26,199.5618
2018-11-27,170.63983
2018-11-28,173.53203
2018-11-29,176.42422
2018-11-30,176.42422
2018-12-01,209.68459
2018-12-02,238.60657
2018-12-03,181.58257
2018-12-04,168.6123
2018-12-05,161.40674
2018-12-06,157.08325
2018-12-07,161.40674
2018-12-08,178.7003
2018-12-09,223.37543
2018-12-10,159.43306
2018-12-11,170.92372
2018-12-12,166.61482
2018-12-13,165.17839
2018-12-14,172.36015
2018-12-15,202.52324
2018-12-16,238.43147
2018-12-17,173.21077
2018-12-18,160.32742
2018-12-19,164.62181
2018-12-20,161.75882
2018-12-21,161.75882
2018-12-22,201.84082
2018-12-23,221.88173
2018-12-24,177.28873
2018-12-25,168.71025
2018-12-26,174.42923
2018-12-27,151.55328
2018-12-28,168.71025
2018-12-29,194.44568
2018-12-30,218.75146
2018-12-31,189.96971
2019-01-01,161.40285
2019-01-02,164.25954
2019-01-03,145.69118
2019-01-04,175.68628
2019-01-05,201.39664
2019-01-06,221.39345
2019-01-07,191.36552
2019-01-08,174.22833
2019-01-09,185.65314
2019-01-10,174.22833
2019-01-11,174.22833
2019-01-12,209.93092
2019-01-13,225.63992
2019-01-14,175.70918
2019-01-15,198.56583
2019-01-16,175.70918
2019-01-17,181.4233
2019-01-18,198.56583
2019-01-19,232.85052
2019-01-20,231.4219
2019-01-21,195.68327
2019-01-22,189.96971
2019-01-23,175.68628
2019-01-24,185.68478
2019-01-25,211.39494
2019-01-26,227.10681
2019-01-27,231.39175
2019-01-28,191.49985
2019-01-29,187.21245
2019-01-30,178.63783
2019-01-31,187.21245
2019-02-01,181.49603
2019-02-02,218.65288
2019-02-03,240.08931
2019-02-04,251.85982
2019-02-05,237.54962
2019-02-06,210.36032
2019-02-07,186.03287
2019-02-08,194.619
2019-02-09,234.68758
2019-02-10,251.85982
2019-02-11,249.66257
2019-02-12,232.34496
2019-02-13,226.57242
2019-02-14,190.49396
2019-02-15,190.49396
2019-02-16,216.47038
2019-02-17,239.56053
2019-02-18,174.38374
2019-02-19,171.50137
2019-02-20,164.29553
2019-02-21,171.50137
2019-02-22,178.7074
2019-02-23,217.61955
2019-02-24,217.61955
2019-02-25,191.5104
2019-02-26,178.55115
2019-02-27,178.55115
2019-02-28,171.35143
2019-03-01,175.6713
2019-03-02,200.15016
2019-03-03,211.66957
2019-03-04,181.51941
2019-03-05,191.60371
2019-03-06,181.51941
2019-03-07,187.28192
2019-03-08,185.8412
2019-03-09,213.21324
2019-03-10,230.5008
2019-03-11,182.40712
2019-03-12,169.48073
2019-03-13,178.09839
2019-03-14,169.48073
2019-03-15,178.09839
2019-03-16,186.71603
2019-03-17,216.87793
2019-03-18,176.5951
2019-03-19,183.77383
2019-03-20,178.03091
2019-03-21,176.5951
2019-03-22,175.15945
2019-03-23,202.43845
2019-03-24,222.53868
2019-03-25,191.0781
2019-03-26,185.33139
2019-03-27,169.52805
2019-03-28,178.1481
2019-03-29,185.33139
2019-03-30,192.51486
2019-03-31,225.55852
2019-04-01,182.61261
2019-04-02,189.80217
2019-04-03,171.10947
2019-04-04,173.98524
2019-04-05,178.29903
2019-04-06,189.80217
2019-04-07,224.31163
2019-04-08,210.54732
2019-04-09,187.47366
2019-04-10,190.35786
2019-04-11,186.03146
2019-04-12,194.68428
2019-04-13,210.54732
2019-04-14,230.73677
2019-04-15,189.42213
2019-04-16,199.54402
2019-04-17,186.5302
2019-04-18,170.62462
2019-04-19,183.63826
2019-04-20,215.44978
2019-04-21,234.2473
2019-04-22,204.45139
2019-04-23,169.651
2019-04-24,187.0511
2019-04-25,168.2011
2019-04-26,178.35106
2019-04-27,204.45139
2019-04-28,236.35155
2019-04-29,197.43494
2019-04-30,182.91768
2019-05-01,182.91768
2019-05-02,182.91768
2019-05-03,190.17621
2019-05-04,220.66255
2019-05-05,222.11436
2019-05-06,231.40074
2019-05-07,177.55275
2019-05-08,174.64204
2019-05-09,164.45451
2019-05-10,177.55275
2019-05-11,183.37415
2019-05-12,218.3025
2019-05-13,192.28769
2019-05-14,192.28769
2019-05-15,192.28769
2019-05-16,161.6964
2019-05-17,177.72044
2019-05-18,212.68181
2019-05-19,243.2731
2019-05-20,195.50813
2019-05-21,185.29494
2019-05-22,185.29494
2019-05-23,170.70479
2019-05-24,198.42616
2019-05-25,243.6557
2019-05-26,243.6557
2019-05-27,198.51964
2019-05-28,198.51964
2019-05-29,175.16441
2019-05-30,179.54341
2019-05-31,195.60023
2019-06-01,217.49585
2019-06-02,230.63307
2019-06-03,182.32143
2019-06-04,182.32143
2019-06-05,173.56999
2019-06-06,179.40428
2019-06-07,195.44865
2019-06-08,214.41016
2019-06-09,230.45435
2019-06-10,194.3385
2019-06-11,191.4161
2019-06-12,185.57135
2019-06-13,188.49373
2019-06-14,204.56693
2019-06-15,239.63551
2019-06-16,204.56693
2019-06-17,194.31374
2019-06-18,188.46973
2019-06-19,198.69685
2019-06-20,182.6257
2019-06-21,182.6257
2019-06-22,230.83896
2019-06-23,242.527
2019-06-24,191.51553
2019-06-25,182.74384
2019-06-26,187.12978
2019-06-27,187.12978
2019-06-28,191.51553
2019-06-29,226.60252
2019-06-30,232.45032
2019-07-01,197.67474
2019-07-02,190.35338
2019-07-03,183.032
2019-07-04,171.31796
2019-07-05,181.56784
2019-07-06,228.42401
2019-07-07,257.7091
2019-07-08,227.36601
2019-07-09,193.62778
2019-07-10,198.0285
2019-07-11,193.62778
2019-07-12,202.42903
2019-07-13,218.56476
2019-07-14,249.36905
2019-07-15,194.17471
2019-07-16,200.01474
2019-07-17,200.01474
2019-07-18,176.6552
2019-07-19,189.79494
2019-07-20,221.91405
2019-07-21,242.35347
2019-07-22,203.40622
2019-07-23,203.40622
2019-07-24,190.33003
2019-07-25,197.59462
2019-07-26,203.40622
2019-07-27,231.01141
2019-07-28,231.01141
2019-07-29,216.45255
2019-07-30,206.28355
2019-07-31,190.30376
2019-08-01,178.68216
2019-08-02,190.30376
2019-08-03,219.35796
2019-08-04,236.79034
2019-08-05,191.83972
2019-08-06,181.66632
2019-08-07,193.29295
2019-08-08,197.65305
2019-08-09,206.37302
2019-08-10,236.89304
2019-08-11,231.07973
2019-08-12,216.91553
2019-08-13,193.62242
2019-08-14,180.52026
2019-08-15,190.71082
2019-08-16,206.7248
2019-08-17,241.66415
2019-08-18,257.67813
2019-08-19,208.17046
2019-08-20,197.98021
2019-08-21,192.15726
2019-08-22,176.14407
2019-08-23,208.17046
2019-08-24,222.7278
2019-08-25,241.65227
2019-08-26,198.05226
2019-08-27,183.48961
2019-08-28,173.29565
2019-08-29,182.03325
2019-08-30,198.05226
2019-08-31,227.17757
2019-09-01,240.28404
2019-09-02,203.56659
2019-09-03,190.48009
2019-09-04,170.12344
2019-09-05,190.48009
2019-09-06,197.75041
2019-09-07,228.28546
2019-09-08,253.00415
2019-09-09,190.48384
2019-09-10,184.66754
2019-09-11,177.39726
2019-09-12,187.5757
2019-09-13,193.39198
2019-09-14,216.65736
2019-09-15,222.47366
2019-09-16,239.41476
2019-09-17,207.29817
2019-09-18,201.4588
2019-09-19,201.4588
2019-09-20,216.05725
2019-09-21,249.63377
2019-09-22,275.91098
2019-09-23,207.68248
2019-09-24,194.51942
2019-09-25,197.44472
2019-09-26,197.44472
2019-09-27,201.83228
2019-09-28,238.39615
2019-09-29,257.4092
2019-09-30,197.38672
2019-10-01,190.07602
2019-10-02,182.7653
2019-10-03,178.37904
2019-10-04,194.46228
2019-10-05,226.62915
2019-10-06,257.33362
2019-10-07,221.36662
2019-10-08,212.5706
2019-10-09,197.91058
2019-10-10,181.78447
2019-10-11,206.70659
2019-10-12,227.23062
2019-10-13,240.42455
2019-10-14,207.2921
2019-10-15,189.65005
2019-10-16,182.29938
2019-10-17,191.1203
2019-10-18,191.1203
2019-10-19,220.5234
2019-10-20,248.45644
2019-10-21,204.30801
2019-10-22,186.66974
2019-10-23,186.66974
2019-10-24,189.60942
2019-10-25,183.73006
2019-10-26,211.6571
2019-10-27,243.99358
2019-10-28,197.11606
2019-10-29,197.11606
2019-10-30,185.34795
2019-10-31,185.34795
2019-11-01,176.52185
2019-11-02,210.35527
2019-11-03,238.30444
2019-11-04,201.26828
2019-11-05,182.16977
2019-11-06,182.16977
2019-11-07,167.47867
2019-11-08,182.16977
2019-11-09,211.55196
2019-11-10,232.11948
2019-11-11,170.29895
2019-11-12,167.36276
2019-11-13,165.89458
2019-11-14,177.63933
2019-11-15,174.70314
2019-11-16,192.32025
2019-11-17,239.29941
2019-11-18,193.34048
2019-11-19,168.4405
2019-11-20,168.4405
2019-11-21,181.62288
2019-11-22,171.3699
2019-11-23,212.38167
2019-11-24,231.42265
2019-11-25,181.37431
2019-11-26,181.37431
2019-11-27,163.82198
2019-11-28,163.82198
2019-11-29,156.5084
2019-11-30,190.15047
2019-12-01,216.47897
2019-12-02,189.80797
2019-12-03,181.0476
2019-12-04,173.74721
2019-12-05,163.52689
2019-12-06,172.28725
2019-12-07,185.42769
2019-12-08,217.5492
2019-12-09,176.39877
2019-12-10,163.2783
2019-12-11,169.10966
2019-12-12,179.31445
2019-12-13,179.31445
2019-12-14,186.60374
2019-12-15,221.59192
2019-12-16,186.53227
2019-12-17,180.70314
2019-12-18,164.67294
2019-12-19,180.70314
2019-12-20,192.3614
2019-12-21,211.30615
2019-12-22,246.28091
2019-12-23,192.3614
2019-12-24,173.41664
2019-12-25,177.78857
2019-12-26,186.53227
2019-12-27,177.78857
2019-12-28,192.3614
2019-12-29,231.7081
2019-12-30,190.60577
2019-12-31,164.41568
2020-01-01,177.51082
2020-01-02,161.50566
2020-01-03,164.41568
2020-01-04,190.60577
2020-01-05,238.62103
2020-01-06,193.63957
2020-01-07,186.35999
2020-01-08,183.4481
2020-01-09,183.4481
2020-01-10,189.27185
2020-01-11,218.39058
2020-01-12,240.2297
2020-01-13,195.28363
2020-01-14,195.28363
2020-01-15,173.42345
2020-01-16,173.42345
2020-01-17,189.45428
2020-01-18,208.39978
2020-01-19,239.00381
2020-01-20,198.12627
2020-01-21,173.36041
2020-01-22,173.36041
2020-01-23,164.61955
2020-01-24,183.55817
2020-01-25,202.49678
2020-01-26,227.26245
2020-01-27,417.90088
2020-01-28,391.507
2020-01-29,365.11328
2020-01-30,343.11862
2020-01-31,297.6627
2020-02-01,306.46057
2020-02-02,278.60046
2020-02-03,234.2148
2020-02-04,194.44241
2020-02-05,194.44241
2020-02-06,179.71194
2020-02-07,182.65805
2020-02-08,194.44241
2020-02-09,234.2148
2020-02-10,213.43018
2020-02-11,179.57568
2020-02-12,167.80025
2020-02-13,178.10367
2020-02-14,160.4405
2020-02-15,179.57568
2020-02-16,204.5986
2020-02-17,177.51285
2020-02-18,161.37541
2020-02-19,156.97418
2020-02-20,164.30951
2020-02-21,168.71056
2020-02-22,186.31512
2020-02-23,209.78807
2020-02-24,175.42043
2020-02-25,181.26778
2020-02-26,144.7218
2020-02-27,153.49281
2020-02-28,156.41647
2020-02-29,156.41647
2020-03-01,178.3441
2020-03-02,160.53116
2020-03-03,160.53116
2020-03-04,163.4499
2020-03-05,160.53116
2020-03-06,167.82793
2020-03-07,192.63736
2020-03-08,185.3404
2020-03-09,151.1167
2020-03-10,136.58627
2020-03-11,126.41487
2020-03-12,119.14975
2020-03-13,135.13313
2020-03-14,145.30453
2020-03-15,152.56966
2020-03-16,131.78923
2020-03-17,140.47862
2020-03-18,118.75523
2020-03-19,127.444626
2020-03-20,112.9623
2020-03-21,123.09983
2020-03-22,144.82341
2020-03-23,151.53525
2020-03-24,138.54662
2020-03-25,131.33055
2020-03-26,141.433
2020-03-27,138.54662
2020-03-28,154.42163
2020-03-29,160.1944
2020-03-30,133.70824
2020-03-31,116.455574
2020-04-01,120.76884
2020-04-02,120.76884
2020-04-03,119.33102
2020-04-04,113.58013
2020-04-05,123.64428
2020-04-06,123.253914
2020-04-07,127.55337
2020-04-08,124.687004
2020-04-09,123.253914
2020-04-10,127.55337
2020-04-11,143.31847
2020-04-12,156.21703
2020-04-13,128.45699
2020-04-14,128.45699
2020-04-15,114.184006
2020-04-16,122.74779
2020-04-17,115.611206
2020-04-18,122.74779
2020-04-19,135.59337
2020-04-20,143.74355
2020-04-21,132.35793
2020-04-22,126.66511
2020-04-23,118.12589
2020-04-24,112.43309
2020-04-25,126.66511
2020-04-26,150.85965
2020-04-27,124.84382
2020-04-28,127.68117
2020-04-29,112.07562
2020-04-30,112.07562
2020-05-01,113.49439
2020-05-02,129.09976
2020-05-03,144.7053
2020-05-04,131.61218
2020-05-05,135.85782
2020-05-06,135.85782
2020-05-07,118.87562
2020-05-08,135.85782
2020-05-09,145.76402
2020-05-10,144.34892
2020-05-11,144.17804
2020-05-12,125.802345
2020-05-13,139.93742
2020-05-14,139.93742
2020-05-15,139.93742
2020-05-16,158.31313
2020-05-17,148.41847
2020-05-18,165.0321
2020-05-19,153.74786
2020-05-20,148.10574
2020-05-21,143.87425
2020-05-22,134.00044
2020-05-23,155.1585
2020-05-24,172.08485
2020-05-25,139.38173
2020-05-26,139.38173
2020-05-27,139.38173
2020-05-28,139.38173
2020-05-29,139.38173
2020-05-30,157.68446
2020-05-31,157.68446
2020-06-01,168.38058
2020-06-02,140.31718
2020-06-03,140.31718
2020-06-04,144.52661
2020-06-05,143.12354
2020-06-06,165.57425
2020-06-07,173.99327
2020-06-08,166.582
2020-06-09,153.98346
2020-06-10,159.58286
2020-06-11,134.38559
2020-06-12,148.38408
2020-06-13,166.582
2020-06-14,167.98195
2020-06-15,171.81154
2020-06-16,153.6527
2020-06-17,149.46208
2020-06-18,153.6527
2020-06-19,142.47797
2020-06-20,167.62111
2020-06-21,181.58951
2020-06-22,174.21323
2020-06-23,157.48877
2020-06-24,149.12654
2020-06-25,144.94551
2020-06-26,168.63841
2020-06-27,165.851
2020-06-28,168.63841
2020-06-29,175.49698
2020-06-30,165.74706
2020-07-01,165.74706
2020-07-02,165.74706
2020-07-03,165.74706
2020-07-04,189.4253
2020-07-05,179.67537
2020-07-06,298.64325
2020-07-07,265.30637
2020-07-08,243.08177
2020-07-09,230.58034
2020-07-10,238.91457
2020-07-11,240.3037
2020-07-12,204.18872
2020-07-13,351.78262
2020-07-14,329.35828
2020-07-15,308.3355
2020-07-16,308.3355
2020-07-17,312.53998
2020-07-18,336.36597
2020-07-19,348.97958
2020-07-20,362.56235
2020-07-21,324.3233
2020-07-22,294.58197
2020-07-23,257.7591
2020-07-24,284.66806
2020-07-25,356.8973
2020-07-26,359.72983
2020-07-27,403.6451
2020-07-28,343.5278
2020-07-29,317.76324
2020-07-30,302.01816
2020-07-31,323.4887
2020-08-01,386.46875
2020-08-02,403.6451
2020-08-03,375.1221
2020-08-04,312.8433
2020-08-05,308.49814
2020-08-06,308.49814
2020-08-07,337.4651
2020-08-08,357.74194
2020-08-09,399.74408
2020-08-10,377.91864
2020-08-11,339.83383
2020-08-12,314.93216
2020-08-13,319.32666
2020-08-14,335.43936
2020-08-15,376.45374
2020-08-16,416.00342
2020-08-17,363.9375
2020-08-18,321.03424
2020-08-19,309.19888
2020-08-20,300.3224
2020-08-21,335.82843
2020-08-22,356.5403
2020-08-23,415.7173
2020-08-24,297.25705
2020-08-25,283.81317
2020-08-26,267.38202
2020-08-27,301.73822
2020-08-28,300.24457
2020-08-29,359.99466
2020-08-30,343.56348
2020-08-31,390.41284
2020-09-01,354.23563
2020-09-02,302.98456
2020-09-03,307.5068
2020-09-04,346.6988
2020-09-05,322.58066
2020-09-06,358.75787
2020-09-07,331.38214
2020-09-08,308.58054
2020-09-09,296.41974
2020-09-10,302.50012
2020-09-11,313.14093
2020-09-12,358.74393
2020-09-13,383.06552
2020-09-14,318.5549
2020-09-15,292.5191
2020-09-16,283.33002
2020-09-17,306.3026
2020-09-18,318.5549
2020-09-19,335.40143
2020-09-20,352.24817
2020-09-21,359.8453
2020-09-22,321.23544
2020-09-23,310.42453
2020-09-24,302.70245
2020-09-25,319.69092
2020-09-26,335.13492
2020-09-27,362.9341
2020-09-28,298.55106
2020-09-29,293.8863
2020-09-30,290.7764
2020-10-01,298.55106
2020-10-02,304.77087
2020-10-03,326.5404
2020-10-04,335.87012
2020-10-05,355.03113
2020-10-06,315.75772
2020-10-07,296.90652
2020-10-08,307.90295
2020-10-09,322.04147
2020-10-10,342.46368
2020-10-11,344.03452
2020-10-12,324.48373
2020-10-13,310.238
2020-10-14,294.40955
2020-10-15,294.40955
2020-10-16,313.4037
2020-10-17,356.14066
2020-10-18,357.7236
2020-10-19,310.93372
2020-10-20,301.36655
2020-10-21,296.58286
2020-10-22,304.5556
2020-10-23,306.15002
2020-10-24,346.0134
2020-10-25,346.0134
2020-10-26,319.5772
2020-10-27,284.2471
2020-10-28,281.03525
2020-10-29,274.6116
2020-10-30,277.82343
2020-10-31,308.3357
2020-11-01,335.63632
2020-11-02,339.87347
2020-11-03,313.97818
2020-11-04,288.0831
2020-11-05,281.6093
2020-11-06,291.31998
2020-11-07,313.97818
2020-11-08,351.20248
2020-11-09,313.3366
2020-11-10,292.12122
2020-11-11,277.43347
2020-11-12,298.64908
2020-11-13,324.76044
2020-11-14,357.39966
2020-11-15,329.65622
2020-11-16,358.2463
2020-11-17,313.8763
2020-11-18,307.30298
2020-11-19,302.3729
2020-11-20,297.443
2020-11-21,320.44962
2020-11-22,354.95966
2020-11-23,380.1495
2020-11-24,338.64862
2020-11-25,332.00824
2020-11-26,310.42783
2020-11-27,322.048
2020-11-28,345.2888
2020-11-29,383.4696
2020-11-30,357.83835
2020-12-01,329.41187
2020-12-02,312.69046
2020-12-03,297.64108
