Date,No
2018-01-01,176.75368149058588
2018-01-02,164.569815530435
2018-01-03,167.01134904619312
2018-01-04,163.12492828148697
2018-01-05,173.82645804552007
2018-01-06,189.21830618980636
2018-01-07,232.11401570800834
2018-01-08,184.8714893732131
2018-01-09,167.15752521696027
2018-01-10,161.84306541598798
2018-01-11,175.49743300362388
2018-01-12,180.82865130021563
2018-01-13,200.37546655044653
2018-01-14,229.943527185984
2018-01-15,194.66850706332994
2018-01-16,174.29157676542204
2018-01-17,173.30629047146545
2018-01-18,161.63125123252038
2018-01-19,169.72710325692282
2018-01-20,198.30017565689536
2018-01-21,238.3740947949147
2018-01-22,201.72079438006244
2018-01-23,211.1310510118651
2018-01-24,218.80314159471354
2018-01-25,224.5895009351538
2018-01-26,220.6981248480255
2018-01-27,234.5835226621867
2018-01-28,273.9985370911553
2018-01-29,213.4888527828687
2018-01-30,202.90570481954094
2018-01-31,219.4375533266576
2018-02-01,241.81465566089787
2018-02-02,246.66099042801517
2018-02-03,269.40364559136447
2018-02-04,302.48830185301347
2018-02-05,215.567737186528
2018-02-06,213.30546450648438
2018-02-07,232.8172425793978
2018-02-08,261.24538914001727
2018-02-09,259.30495221355983
2018-02-10,291.95148688846626
2018-02-11,316.83191648581214
2018-02-12,221.4919793890576
2018-02-13,216.84342171203795
2018-02-14,228.09060353743513
2018-02-15,225.48165165427778
2018-02-16,241.318883693993
2018-02-17,258.89918549931843
2018-02-18,285.79789742111643
2018-02-19,348.4729104020041
2018-02-20,311.18652591647543
2018-02-21,278.4797827544733
2018-02-22,240.45239113561155
2018-02-23,211.55359082024606
2018-02-24,211.3935926074788
2018-02-25,247.2372595770725
2018-02-26,221.8555410827835
2018-02-27,216.34730843825565
2018-02-28,219.56782778950313
2018-03-01,208.71290127551543
2018-03-02,203.21684274514732
2018-03-03,209.52789566863922
2018-03-04,235.7604814556686
2018-03-05,205.73142054196109
2018-03-06,205.21828267228437
2018-03-07,186.7747464894347
2018-03-08,177.93991218800338
2018-03-09,193.23066704551712
2018-03-10,201.1685173034754
2018-03-11,233.74750454404327
2018-03-12,210.45281093461682
2018-03-13,194.00487747711543
2018-03-14,172.699123003295
2018-03-15,176.17128358693148
2018-03-16,178.30750482756665
2018-03-17,208.0320540859027
2018-03-18,241.939182882443
2018-03-19,211.00635789013984
2018-03-20,185.5745141335336
2018-03-21,181.82111179234374
2018-03-22,171.07152522936138
2018-03-23,183.7103261077809
2018-03-24,195.70906838097503
2018-03-25,221.84409970860304
2018-03-26,192.35719850096982
2018-03-27,178.4267279969267
2018-03-28,188.9954876941282
2018-03-29,202.39409680650596
2018-03-30,207.6122481556515
2018-03-31,220.59572058194763
2018-04-01,255.52264990993666
2018-04-02,214.7992502906497
2018-04-03,212.52326571630107
2018-04-04,223.2791787381243
2018-04-05,210.92932872561423
2018-04-06,192.84432961299862
2018-04-07,180.24408522500084
2018-04-08,229.08530401784162
2018-04-09,191.97015318699945
2018-04-10,181.32934149368845
2018-04-11,176.74315527861683
2018-04-12,170.84500878409347
2018-04-13,187.5991357121532
2018-04-14,200.4522532728355
2018-04-15,229.8515569425856
2018-04-16,192.4985278424255
2018-04-17,190.75410931309705
2018-04-18,188.24497897814516
2018-04-19,181.6503747518062
2018-04-20,197.3361798908432
2018-04-21,202.01550318776054
2018-04-22,228.11055397001064
2018-04-23,171.9208365940978
2018-04-24,173.10296493667397
2018-04-25,153.43490599396657
2018-04-26,145.16225931976646
2018-04-27,155.88359067746617
2018-04-28,175.18617524868733
2018-04-29,203.5103888277622
2018-04-30,190.8697657278776
2018-05-01,187.76259398432896
2018-05-02,170.64330823449515
2018-05-03,166.89612243658192
2018-05-04,193.40727483448305
2018-05-05,203.86248005104915
2018-05-06,215.76406945018567
2018-05-07,194.31158123557702
2018-05-08,180.1540432771141
2018-05-09,176.90492354731066
2018-05-10,189.70439897953793
2018-05-11,207.41002472355393
2018-05-12,201.63332750137664
2018-05-13,235.65071849499975
2018-05-14,202.91838328373794
2018-05-15,180.3108076317201
2018-05-16,192.07150354100727
2018-05-17,201.34416621563614
2018-05-18,188.23139423672384
2018-05-19,200.42772575717603
2018-05-20,242.90157755506388
2018-05-21,189.07308593952948
2018-05-22,190.1245363514106
2018-05-23,174.44242074095808
2018-05-24,184.5324701265968
2018-05-25,182.78209703250002
2018-05-26,200.73417276913946
2018-05-27,230.16675240619878
2018-05-28,196.19773771665942
2018-05-29,195.6128007883012
2018-05-30,193.40193903467886
2018-05-31,168.09152897715686
2018-06-01,211.85651007981943
2018-06-02,203.30064427612174
2018-06-03,234.01800942109904
2018-06-04,195.04168433679345
2018-06-05,179.88219353563227
2018-06-06,178.3240073507292
2018-06-07,183.408125003786
2018-06-08,183.95136566109173
2018-06-09,209.41702954893995
2018-06-10,246.0776303060836
2018-06-11,200.3929232876213
2018-06-12,190.99790671130174
2018-06-13,180.2050652200006
2018-06-14,164.11252160119867
2018-06-15,175.65084953252
2018-06-16,205.89122159377126
2018-06-17,248.64470640996473
2018-06-18,189.72750738316614
2018-06-19,195.7702223913737
2018-06-20,184.70722531749672
2018-06-21,205.1580602693271
2018-06-22,199.19112303692492
2018-06-23,202.16778207452379
2018-06-24,239.15434974953376
2018-06-25,204.739906896005
2018-06-26,189.9748176133524
2018-06-27,185.8822419165693
2018-06-28,192.19761786090018
2018-06-29,185.92546755234162
2018-06-30,210.160824126045
2018-07-01,242.27671718934604
2018-07-02,214.63521238882444
2018-07-03,205.42249368914904
2018-07-04,207.87691030797194
2018-07-05,198.95802814075074
2018-07-06,202.6473379785346
2018-07-07,206.67012040985665
2018-07-08,235.79472986932862
2018-07-09,192.69073787478314
2018-07-10,180.06112068771503
2018-07-11,177.08236317355707
2018-07-12,175.10560648079462
2018-07-13,173.9030219036731
2018-07-14,191.64569957868804
2018-07-15,232.65486285141338
2018-07-16,200.52242787385478
2018-07-17,181.6087644170226
2018-07-18,184.13888325045588
2018-07-19,164.5162049958674
2018-07-20,197.8985599756602
2018-07-21,201.1659886062695
2018-07-22,208.53522440144772
2018-07-23,201.87299099098124
2018-07-24,170.80967576406604
2018-07-25,165.52786325329816
2018-07-26,163.5013874605039
2018-07-27,175.1945710202489
2018-07-28,188.86736793794043
2018-07-29,231.15091324650498
2018-07-30,192.37124965001306
2018-07-31,168.68188961815767
2018-08-01,185.60164443275127
2018-08-02,178.07832061877875
2018-08-03,196.316956134758
2018-08-04,212.09225617367989
2018-08-05,236.69806567127796
2018-08-06,186.46547433290726
2018-08-07,166.81982850162197
2018-08-08,185.52955686571107
2018-08-09,179.92205759351668
2018-08-10,192.9889250381827
2018-08-11,208.86747235391522
2018-08-12,229.52912479458402
2018-08-13,196.80959990532492
2018-08-14,178.1797008998061
2018-08-15,185.36962183811093
2018-08-16,178.43450125042108
2018-08-17,178.20830654816402
