number,value,datetime_start,datetime_complete,duration,params_kernel_size,params_learning_rate,state
0,12.870232013527259,2024-10-04 15:07:51.098767,2024-10-04 15:08:11.763678,0 days 00:00:20.664911,13,0.0071144760093434225,COMPLETE
1,10.054474174837093,2024-10-04 15:08:11.763678,2024-10-04 15:08:29.286512,0 days 00:00:17.522834,23,0.0006251373574521745,COMPLETE
2,10.264644262563774,2024-10-04 15:08:29.287540,2024-10-04 15:08:45.945024,0 days 00:00:16.657484,7,2.9375384576328295e-05,COMPLETE
3,10.691773173829688,2024-10-04 15:08:45.947023,2024-10-04 15:09:01.930856,0 days 00:00:15.983833,4,0.003967605077052989,COMPLETE
4,10.641834308040615,2024-10-04 15:09:01.932382,2024-10-04 15:09:18.441991,0 days 00:00:16.509609,19,0.001331121608073689,COMPLETE
5,20.789601408661497,2024-10-04 15:09:18.442991,2024-10-04 15:09:34.727448,0 days 00:00:16.284457,3,0.008123245085588688,COMPLETE
6,10.10962848333992,2024-10-04 15:09:34.727448,2024-10-04 15:09:51.026967,0 days 00:00:16.299519,26,4.335281794951564e-05,COMPLETE
7,10.346414866242743,2024-10-04 15:09:51.028979,2024-10-04 15:10:08.043360,0 days 00:00:17.014381,8,3.5498788321965036e-05,COMPLETE
8,9.180722976275463,2024-10-04 15:10:08.044481,2024-10-04 15:10:24.788704,0 days 00:00:16.744223,11,0.00037520558551242813,COMPLETE
9,10.460435786004751,2024-10-04 15:10:24.789705,2024-10-04 15:10:41.942882,0 days 00:00:17.153177,15,7.476312062252303e-05,COMPLETE
10,10.209812127192775,2024-10-04 15:10:41.942882,2024-10-04 15:11:01.295503,0 days 00:00:19.352621,11,0.0001488732102762762,COMPLETE
11,10.17438488668419,2024-10-04 15:11:01.296502,2024-10-04 15:11:19.913939,0 days 00:00:18.617437,22,0.0005944992202775548,COMPLETE
12,9.898418593826703,2024-10-04 15:11:19.915938,2024-10-04 15:11:35.454864,0 days 00:00:15.538926,30,0.00036888121949571945,COMPLETE
13,9.761583463165918,2024-10-04 15:11:35.455869,2024-10-04 15:11:52.963731,0 days 00:00:17.507862,30,0.0002242034407381251,COMPLETE
14,9.86630552895234,2024-10-04 15:11:52.964738,2024-10-04 15:12:10.278959,0 days 00:00:17.314221,18,1.095292710677685e-05,COMPLETE
15,10.123477819520955,2024-10-04 15:12:10.278959,2024-10-04 15:12:29.314511,0 days 00:00:19.035552,30,0.0001666000816595021,COMPLETE
16,10.665326052151329,2024-10-04 15:12:29.315560,2024-10-04 15:12:45.621926,0 days 00:00:16.306366,10,0.0010734851768038,COMPLETE
17,9.883355484503616,2024-10-04 15:12:45.622927,2024-10-04 15:13:03.424945,0 days 00:00:17.802018,16,0.00018164441967033381,COMPLETE
18,10.593176492566437,2024-10-04 15:13:03.429987,2024-10-04 15:13:20.164794,0 days 00:00:16.734807,26,0.0020085284748997245,COMPLETE
19,10.083499422133059,2024-10-04 15:13:20.164794,2024-10-04 15:13:37.351839,0 days 00:00:17.187045,13,0.00032293268426339655,COMPLETE
20,9.976048002597482,2024-10-04 15:13:37.351839,2024-10-04 15:13:54.276251,0 days 00:00:16.924412,21,9.232121954654652e-05,COMPLETE
21,9.922454078388467,2024-10-04 15:13:54.277355,2024-10-04 15:14:11.004934,0 days 00:00:16.727579,18,1.3591829882510165e-05,COMPLETE
22,9.900984447829131,2024-10-04 15:14:11.004934,2024-10-04 15:14:30.295163,0 days 00:00:19.290229,26,1.261123605460073e-05,COMPLETE
23,10.109243014125378,2024-10-04 15:14:30.296589,2024-10-04 15:14:47.463432,0 days 00:00:17.166843,8,2.1394494232654093e-05,COMPLETE
24,10.164648591450593,2024-10-04 15:14:47.464937,2024-10-04 15:15:03.979128,0 days 00:00:16.514191,19,7.122391327966486e-05,COMPLETE
25,9.453901151443757,2024-10-04 15:15:03.980127,2024-10-04 15:15:21.165301,0 days 00:00:17.185174,14,0.0006233296704706064,COMPLETE
26,9.56882780311376,2024-10-04 15:15:21.167313,2024-10-04 15:15:37.978517,0 days 00:00:16.811204,13,0.0006571945807880665,COMPLETE
27,10.090639046642632,2024-10-04 15:15:37.980514,2024-10-04 15:15:54.651213,0 days 00:00:16.670699,14,0.0006206465784016741,COMPLETE
28,11.0328087336426,2024-10-04 15:15:54.652730,2024-10-04 15:16:11.420221,0 days 00:00:16.767491,11,0.001996501088423426,COMPLETE
29,13.539049982366034,2024-10-04 15:16:11.421219,2024-10-04 15:16:28.534410,0 days 00:00:17.113191,6,0.004353532392496812,COMPLETE
