Date,No
2018-01-01,371.4785933411374
2018-01-02,355.05136726511006
2018-01-03,338.4431171277926
2018-01-04,331.5660038050593
2018-01-05,362.67959508345444
2018-01-06,354.98180842328475
2018-01-07,399.5785252452365
2018-01-08,368.9356244977669
2018-01-09,329.7017430438852
2018-01-10,334.5336037886043
2018-01-11,324.15739384385125
2018-01-12,336.11830483735673
2018-01-13,341.9560208235719
2018-01-14,373.7476373674055
2018-01-15,375.8352922320133
2018-01-16,353.4135534988721
2018-01-17,339.6345302396727
2018-01-18,326.6162649634688
2018-01-19,338.6425463782408
2018-01-20,354.021550024756
2018-01-21,397.2328900567949
2018-01-22,383.95568448856034
2018-01-23,379.45044040783614
2018-01-24,371.64048763300696
2018-01-25,387.92898624200126
2018-01-26,406.2999677611136
2018-01-27,414.2399539007333
2018-01-28,456.24836414847044
2018-01-29,402.7599730767254
2018-01-30,407.91486650385787
2018-01-31,411.3717388995258
2018-02-01,421.3250613464354
2018-02-02,442.46306376584903
2018-02-03,474.7133942286411
2018-02-04,523.4198175423096
2018-02-05,417.61254269960085
2018-02-06,408.68499018619804
2018-02-07,399.2438548168585
2018-02-08,428.5469885405673
2018-02-09,459.470567217286
2018-02-10,480.7855862551978
2018-02-11,522.5220633793665
2018-02-12,395.0856843572752
2018-02-13,386.2919428903221
2018-02-14,389.62270582562314
2018-02-15,402.8416040845197
2018-02-16,411.7030723861993
2018-02-17,426.69857080660546
2018-02-18,479.9040479046063
2018-02-19,575.2441573612257
2018-02-20,496.7176468948218
2018-02-21,459.1794152034054
2018-02-22,436.94413357538133
2018-02-23,420.20793987316017
2018-02-24,421.3054739862163
2018-02-25,450.362942580533
2018-02-26,425.66348341557097
2018-02-27,408.6277443988716
2018-02-28,388.2370976043461
2018-03-01,369.8731945291592
2018-03-02,373.19674963642575
2018-03-03,374.1413655485554
2018-03-04,411.7882020692338
2018-03-05,378.0722079387564
2018-03-06,361.65401076208735
2018-03-07,346.61562218882506
2018-03-08,335.886014848339
2018-03-09,353.7731870861098
2018-03-10,350.63638876914166
2018-03-11,405.8636333495095
2018-03-12,396.8363592347028
2018-03-13,378.1851339096145
2018-03-14,361.68155269783426
2018-03-15,350.4636138309461
2018-03-16,364.0641272555331
2018-03-17,350.6026499234549
2018-03-18,401.1247446922859
2018-03-19,396.7910938275945
2018-03-20,378.16905557187863
2018-03-21,371.18767381723546
2018-03-22,360.9501139262791
2018-03-23,370.3156397333336
2018-03-24,354.485505502786
2018-03-25,393.02075801847434
2018-03-26,381.3669482116376
2018-03-27,367.28757483560986
2018-03-28,359.0890676304877
2018-03-29,348.6057344505615
2018-03-30,375.3313487154273
2018-03-31,369.9327269305839
2018-04-01,413.93187446282076
2018-04-02,369.3781583173627
2018-04-03,379.58729883949894
2018-04-04,396.8963327574492
2018-04-05,381.8811022624827
2018-04-06,386.3661517863414
2018-04-07,396.62378435300076
2018-04-08,422.2228664256345
2018-04-09,363.49329535561054
2018-04-10,358.8393425747869
2018-04-11,350.0857943021933
2018-04-12,355.49596177326754
2018-04-13,370.0498368857713
2018-04-14,381.93686498930884
2018-04-15,410.54970982366
2018-04-16,387.4558090658722
2018-04-17,353.1299692026237
2018-04-18,336.3699195728136
2018-04-19,335.4470375732113
2018-04-20,355.563639405082
2018-04-21,373.4979106532297
2018-04-22,399.95664091707073
2018-04-23,362.2671369242588
2018-04-24,331.8412347429995
2018-04-25,329.35382582953076
2018-04-26,325.78849676843834
2018-04-27,338.6683785274672
2018-04-28,351.6616026005671
2018-04-29,392.71721934415024
2018-04-30,393.1522853912185
2018-05-01,376.508205938649
2018-05-02,347.28595534460527
2018-05-03,330.71524022352247
2018-05-04,351.19549417491663
2018-05-05,353.4150355112327
2018-05-06,413.83640367198586
2018-05-07,370.02945537753703
2018-05-08,348.58644086372
2018-05-09,339.63429818099485
2018-05-10,328.56667327763415
2018-05-11,342.3883726563383
2018-05-12,367.6636575235865
2018-05-13,406.64947498340626
2018-05-14,375.3281061296457
2018-05-15,369.1329595424658
2018-05-16,333.1150273297224
2018-05-17,320.52895193670696
2018-05-18,347.2223479799945
2018-05-19,359.32267996917165
2018-05-20,397.0790187317506
2018-05-21,346.98424451621406
2018-05-22,330.65279104912577
2018-05-23,320.2218278198371
2018-05-24,329.2182977716921
2018-05-25,356.1907422156785
2018-05-26,373.72638851942105
2018-05-27,409.3972793776861
2018-05-28,382.01901343600963
2018-05-29,346.90160468624316
2018-05-30,345.0317158199738
2018-05-31,341.24664432281213
2018-06-01,359.55693299254796
2018-06-02,373.5119342186568
2018-06-03,415.527705259352
2018-06-04,368.9289902636365
2018-06-05,358.39329305255285
2018-06-06,348.7092447821409
2018-06-07,335.972230800121
2018-06-08,364.2046408288641
2018-06-09,383.02736493871606
2018-06-10,414.06012731465506
2018-06-11,373.6050175823758
2018-06-12,351.91009917500344
2018-06-13,338.2756555945363
2018-06-14,336.0678079693801
2018-06-15,353.1595958426528
2018-06-16,362.77129646507353
2018-06-17,418.66439209519376
2018-06-18,402.9795351130549
2018-06-19,375.65629560891466
2018-06-20,360.7448527280062
2018-06-21,356.4925433986017
2018-06-22,375.42823296584953
2018-06-23,388.3605432926069
2018-06-24,411.7006410434596
2018-06-25,377.87701740026966
2018-06-26,349.8204850593126
2018-06-27,343.97858188176735
2018-06-28,335.6357516636024
2018-06-29,367.2474963913498
2018-06-30,378.8847824840871
2018-07-01,416.398285354457
2018-07-02,376.0922992028749
2018-07-03,375.3478552390418
2018-07-04,347.34593962607835
2018-07-05,337.58536509031444
2018-07-06,356.79817224233227
2018-07-07,367.10759821566785
2018-07-08,404.90448854578517
2018-07-09,365.4427175450317
2018-07-10,343.9860819645193
2018-07-11,338.7834012973218
2018-07-12,336.37984450064397
2018-07-13,340.9643114563009
2018-07-14,350.21386455657387
2018-07-15,389.7077049811274
2018-07-16,358.7332068420363
2018-07-17,340.40005072407746
2018-07-18,324.6034791003079
2018-07-19,312.12603141627454
2018-07-20,334.2866590813389
2018-07-21,345.049121334863
2018-07-22,396.2637050510778
2018-07-23,362.0407273293697
2018-07-24,341.78072421377624
2018-07-25,324.86820059015014
2018-07-26,324.8222224990293
2018-07-27,330.714138903051
