date,Year,Month,Day,Dayscaled,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Dayoff,NewYear,Mon,Tue,Wed,Thr,Fri,Sat,Sun,Level_3_Alert,Outbreak,COVID19,No,,,,
2008/3/21 00:00,2008,3,21,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,196,,,,
2008/3/22 00:00,2008,3,22,0.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,353,,,,
2008/3/23 00:00,2008,3,23,0.733333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,440,,,,
2008/3/24 00:00,2008,3,24,0.766666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,405,,,,
2008/3/25 00:00,2008,3,25,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,298, , , , 
2008/3/26 00:00,2008,3,26,0.833333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,275,¡@,  , , 
2008/3/27 00:00,2008,3,27,0.866666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,344,¡@, , , 
2008/3/28 00:00,2008,3,28,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,347,¡@,¡@,¡@, 
2008/3/29 00:00,2008,3,29,0.933333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,346,¡@,¡@¡@,¡@, 
2008/3/30 00:00,2008,3,30,0.966666667,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,436,¡@,¡@, , 
2008/3/31 00:00,2008,3,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,383,,,,
2008/4/1 00:00,2008,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,329,,,,
2008/4/2 00:00,2008,4,2,0.033333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,325,,,,
2008/4/3 00:00,2008,4,3,0.066666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,365,,,,
2008/4/4 00:00,2008,4,4,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,372,,,,
2008/4/5 00:00,2008,4,5,0.133333333,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,404,,,,
2008/4/6 00:00,2008,4,6,0.166666667,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,484,,,,
2008/4/7 00:00,2008,4,7,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,395,,,,
2008/4/8 00:00,2008,4,8,0.233333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,322,,,,
2008/4/9 00:00,2008,4,9,0.266666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,312,,,,
2008/4/10 00:00,2008,4,10,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,306,,,,
2008/4/11 00:00,2008,4,11,0.333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,327,,,,
2008/4/12 00:00,2008,4,12,0.366666667,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,344,,,,
2008/4/13 00:00,2008,4,13,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,407,,,,
2008/4/14 00:00,2008,4,14,0.433333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,358,,,,
