Date,No
2018-01-01,177.82224735200143
2018-01-02,156.95182156644535
2018-01-03,163.02215503650189
2018-01-04,158.77263795131287
2018-01-05,173.10498800848424
2018-01-06,189.3805229257586
2018-01-07,217.65780071779093
2018-01-08,195.00550574802807
2018-01-09,182.99805629661358
2018-01-10,186.2070407064937
2018-01-11,185.73720872901825
2018-01-12,190.64122429544472
2018-01-13,207.12222596104456
2018-01-14,242.86370174746574
2018-01-15,199.6041303899671
2018-01-16,184.52531757558495
2018-01-17,188.6389780667178
2018-01-18,194.10765109245665
2018-01-19,203.9104831315779
2018-01-20,229.2459638235668
2018-01-21,260.29930389184887
2018-01-22,188.4626339438858
2018-01-23,169.02217237513548
2018-01-24,174.1313448547399
2018-01-25,179.56291656890957
2018-01-26,184.57923024498854
2018-01-27,209.2056891774779
2018-01-28,242.73272770252345
2018-01-29,209.6969946586052
2018-01-30,195.0554009672513
2018-01-31,202.06040933404068
2018-02-01,202.53486585984498
2018-02-02,217.45563316176091
2018-02-03,239.28314444833592
2018-02-04,272.1358851058809
2018-02-05,215.48270208629435
2018-02-06,206.13410099896515
2018-02-07,206.73282156884397
2018-02-08,210.73538205361214
2018-02-09,220.4956679205504
2018-02-10,237.82101574864055
2018-02-11,272.98618074095674
2018-02-12,204.7167454211204
2018-02-13,196.76980156279507
2018-02-14,198.2678913772929
2018-02-15,206.12834616907182
2018-02-16,212.21918985221535
2018-02-17,231.5397032353861
2018-02-18,258.46491838113633
2018-02-19,309.833410518008
2018-02-20,271.54498813714713
2018-02-21,239.583645181327
2018-02-22,228.187315313072
2018-02-23,222.19922620454966
2018-02-24,228.75202110476746
2018-02-25,257.11484312187997
2018-02-26,189.24402271723122
2018-02-27,175.94611046531725
2018-02-28,184.03060449103074
2018-03-01,188.6952051366838
2018-03-02,199.20240364615435
2018-03-03,219.71852674646664
2018-03-04,246.6477402951533
2018-03-05,198.7355040947151
2018-03-06,183.35115097877184
2018-03-07,182.176931261177
2018-03-08,178.52361284177155
2018-03-09,180.3877070044982
2018-03-10,190.5375796081929
