number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,params_n_rnn_layers,state
0,8.366881287316863,2024-10-04 11:52:42.879159,2024-10-04 11:53:47.991550,0 days 00:01:05.112391,0.4789267873576293,204,0.0071144760093434225,3,COMPLETE
1,13.609334388171911,2024-10-04 11:53:47.992818,2024-10-04 11:54:07.069320,0 days 00:00:19.076502,0.6929409166199482,96,2.9375384576328295e-05,1,COMPLETE
2,8.192533642877859,2024-10-04 11:54:07.071158,2024-10-04 11:54:41.775767,0 days 00:00:34.704609,0.7759278817295955,316,0.001331121608073689,1,COMPLETE
3,11.337169718401634,2024-10-04 11:54:41.776770,2024-10-04 11:55:34.370042,0 days 00:00:52.593272,0.14672360788274705,430,4.335281794951564e-05,1,COMPLETE
4,10.18611366149327,2024-10-04 11:55:34.372044,2024-10-04 11:56:12.873396,0 days 00:00:38.501352,0.23298331215843354,169,0.00037520558551242813,2,COMPLETE
5,11.536576625885397,2024-10-04 11:56:12.875176,2024-10-04 11:57:40.130714,0 days 00:01:27.255538,0.2930894746349534,321,2.621087878265438e-05,2,COMPLETE
6,10.401510930023226,2024-10-04 11:57:40.130714,2024-10-04 11:58:09.683934,0 days 00:00:29.553220,0.4113875507308893,244,0.0022673986523780395,1,COMPLETE
7,11.538435441602745,2024-10-04 11:58:09.683934,2024-10-04 12:00:05.347613,0 days 00:01:55.663679,0.13641929894983323,312,1.3783237455007187e-05,3,COMPLETE
8,10.220933461035171,2024-10-04 12:00:05.349663,2024-10-04 12:00:27.968885,0 days 00:00:22.619222,0.646717878493169,52,0.007025166339242158,4,COMPLETE
9,11.297884063463368,2024-10-04 12:00:27.968885,2024-10-04 12:01:18.861348,0 days 00:00:50.892463,0.35212199499168106,170,1.9634341572933304e-05,3,COMPLETE
10,10.343993217159873,2024-10-04 12:01:18.871348,2024-10-04 12:04:05.830401,0 days 00:02:46.959053,0.7640732907868824,490,0.0004748459024928748,2,COMPLETE
11,8.800530808989592,2024-10-04 12:04:05.831494,2024-10-04 12:07:48.347974,0 days 00:03:42.516480,0.5346438077576849,383,0.002234035480298314,4,COMPLETE
12,10.32761956981624,2024-10-04 12:07:48.347974,2024-10-04 12:09:10.040529,0 days 00:01:21.692555,0.5133312072379668,245,0.009494676783696601,3,COMPLETE
13,9.558213263904188,2024-10-04 12:09:10.040529,2024-10-04 12:10:01.568990,0 days 00:00:51.528461,0.5236289988908754,174,0.0013452692808568133,3,COMPLETE
14,11.397719236108115,2024-10-04 12:10:01.568990,2024-10-04 12:11:33.391828,0 days 00:01:31.822838,0.76629688837776,340,0.00011364768799958422,2,COMPLETE
15,10.17375746049112,2024-10-04 12:11:33.391828,2024-10-04 12:13:13.703355,0 days 00:01:40.311527,0.6315816530555718,238,0.0010423571787874005,4,COMPLETE
16,9.19455393902958,2024-10-04 12:13:13.703355,2024-10-04 12:13:33.425239,0 days 00:00:19.721884,0.43437853933278736,114,0.003996065383051893,1,COMPLETE
17,10.305878467082248,2024-10-04 12:13:33.425239,2024-10-04 12:15:29.673786,0 days 00:01:56.248547,0.06688417945645797,392,0.0001590561922417115,2,COMPLETE
18,9.060941478813401,2024-10-04 12:15:29.673786,2024-10-04 12:17:12.756305,0 days 00:01:43.082519,0.7986980315564328,287,0.0007888054998567217,3,COMPLETE
19,10.175210681156662,2024-10-04 12:17:12.766219,2024-10-04 12:18:36.057650,0 days 00:01:23.291431,0.5904786737009862,202,0.0038516368303312277,4,COMPLETE
20,9.816805555392094,2024-10-04 12:18:36.067703,2024-10-04 12:19:44.834679,0 days 00:01:08.766976,0.4607602777435242,511,0.005025359463739115,1,COMPLETE
21,9.629914061105023,2024-10-04 12:19:44.834679,2024-10-04 12:23:23.697947,0 days 00:03:38.863268,0.5543969087409155,376,0.001882222024956331,4,COMPLETE
22,9.06613036368601,2024-10-04 12:23:23.698637,2024-10-04 12:27:43.571658,0 days 00:04:19.873021,0.6960016926894832,412,0.0027145761307638414,4,COMPLETE
23,10.308311569124568,2024-10-04 12:27:43.572673,2024-10-04 12:31:41.560839,0 days 00:03:57.988166,0.4774604545456575,455,0.0006624994684311354,3,COMPLETE
24,10.376046111550066,2024-10-04 12:31:41.561840,2024-10-04 12:34:57.743999,0 days 00:03:16.182159,0.35373908265772075,348,0.00022034990793445773,4,COMPLETE
25,8.536727010242053,2024-10-04 12:34:57.745004,2024-10-04 12:36:46.679873,0 days 00:01:48.934869,0.5886804908094678,291,0.001516681031865729,3,COMPLETE
26,10.599962383809618,2024-10-04 12:36:46.680869,2024-10-04 12:38:22.067821,0 days 00:01:35.386952,0.6635779515286233,272,0.0013943861751764069,3,COMPLETE
27,9.635918153668726,2024-10-04 12:38:22.069108,2024-10-04 12:39:08.202889,0 days 00:00:46.133781,0.723569598730959,207,0.005801506288821616,2,COMPLETE
28,11.558799609815956,2024-10-04 12:39:08.203848,2024-10-04 12:39:40.776822,0 days 00:00:32.572974,0.599864957299152,128,7.192986461282522e-05,3,COMPLETE
29,9.465827407928511,2024-10-04 12:39:40.776822,2024-10-04 12:40:54.545880,0 days 00:01:13.769058,0.6961596378177421,289,0.0005950493881684412,2,COMPLETE
