Date,No
2018-01-01,373.6757832565847
2018-01-02,345.93910036854027
2018-01-03,334.5659661754685
2018-01-04,336.89993292185915
2018-01-05,349.8182510664612
2018-01-06,372.4482238692727
2018-01-07,396.5116513906986
2018-01-08,354.0445960386562
2018-01-09,327.09704327103975
2018-01-10,313.24870503386427
2018-01-11,319.35123504514473
2018-01-12,330.4046885542979
2018-01-13,355.0965122534101
2018-01-14,384.44506442399756
2018-01-15,350.6437511881501
2018-01-16,321.3814338637992
2018-01-17,309.7053148313056
2018-01-18,307.3972489483687
2018-01-19,319.96361724456966
2018-01-20,340.87910224412883
2018-01-21,375.2575157791191
2018-01-22,363.22324686854313
2018-01-23,350.171803795732
2018-01-24,345.9046962539117
2018-01-25,353.44354383419113
2018-01-26,369.94748993435167
2018-01-27,399.441955153227
2018-01-28,430.32472525572547
2018-01-29,425.6005087495141
2018-01-30,398.00874886699603
2018-01-31,393.3299873467729
2018-02-01,416.1669513326084
2018-02-02,436.9958641811762
2018-02-03,459.2194204258233
2018-02-04,495.4466070649753
2018-02-05,556.8843721765636
2018-02-06,517.7886670851693
2018-02-07,518.3143378675077
2018-02-08,547.9743089299568
2018-02-09,569.0672190817079
2018-02-10,600.7681697811213
2018-02-11,607.3658619546123
2018-02-12,382.07895754048684
2018-02-13,365.2022334491507
2018-02-14,355.85443882255
2018-02-15,365.74794735454753
2018-02-16,381.539118374396
2018-02-17,407.28161855795634
2018-02-18,436.1999425677599
2018-02-19,613.0165169875866
2018-02-20,529.4002468030936
2018-02-21,472.1666184624734
2018-02-22,433.62555202271926
2018-02-23,436.9126459877037
2018-02-24,454.9257603691451
2018-02-25,463.4495132619774
2018-02-26,385.4690715357294
2018-02-27,372.25928392499605
2018-02-28,372.42651240401705
2018-03-01,370.9584550978612
2018-03-02,384.67299201711415
2018-03-03,390.8864121848309
2018-03-04,405.9261057786176
2018-03-05,368.5423311541138
2018-03-06,341.2334600300069
2018-03-07,329.62123710029704
2018-03-08,332.9545794740151
2018-03-09,344.16149117732556
2018-03-10,366.9629953830864
2018-03-11,384.8178141701484
2018-03-12,376.8329524395175
2018-03-13,344.92915399955433
2018-03-14,339.2212385167683
2018-03-15,338.76801159586836
2018-03-16,355.5903878427381
2018-03-17,373.2955772915453
2018-03-18,397.2052669462497
2018-03-19,416.33001677536583
2018-03-20,380.0400610264695
2018-03-21,369.4225209189943
2018-03-22,373.5326121962502
2018-03-23,383.64094086334654
2018-03-24,407.6324631014402
2018-03-25,429.86991156099884
2018-03-26,390.24046963649596
2018-03-27,358.15849866190666
2018-03-28,341.26976089400915
2018-03-29,346.4284976875017
2018-03-30,361.8975775805062
2018-03-31,388.34613392724907
2018-04-01,414.38720071896404
2018-04-02,398.32733623963463
2018-04-03,368.3886828677834
2018-04-04,356.2919766614597
2018-04-05,355.3114693672182
2018-04-06,369.5106811423377
2018-04-07,391.4008362079967
2018-04-08,415.6367124433065
2018-04-09,348.3635635508344
2018-04-10,314.0035075235523
2018-04-11,307.82753824784857
2018-04-12,315.72383924927726
2018-04-13,328.9052873121154
2018-04-14,345.0669606557575
2018-04-15,371.1361928919959
2018-04-16,385.6297230718894
2018-04-17,355.0026251440445
2018-04-18,337.11693766485547
2018-04-19,336.422702977221
2018-04-20,342.4969068278271
2018-04-21,355.9786397144609
2018-04-22,393.0220750725919
2018-04-23,385.5832943709918
2018-04-24,357.31952277662685
2018-04-25,342.36264675294797
2018-04-26,342.38264388954326
2018-04-27,350.92773528103754
2018-04-28,370.577543102888
2018-04-29,393.8252691720839
2018-04-30,372.0927992728364
2018-05-01,338.68265967168264
2018-05-02,325.69406807689836
2018-05-03,327.15703554617005
2018-05-04,339.29091471604914
2018-05-05,361.2188300506425
2018-05-06,381.24656983766846
2018-05-07,378.2618459838694
2018-05-08,353.1873715165101
2018-05-09,339.9536317302893
2018-05-10,339.0091533312098
2018-05-11,351.2921017066452
2018-05-12,369.6297656345182
2018-05-13,387.6064666069391
2018-05-14,363.2711271449175
2018-05-15,332.7127659739908
2018-05-16,325.75103793698963
2018-05-17,322.91721644430703
2018-05-18,334.39559275974193
2018-05-19,354.71307549832
2018-05-20,386.70103910561556
2018-05-21,361.57248473477665
2018-05-22,333.0435139221161
2018-05-23,330.8362156550954
2018-05-24,327.5172064268799
2018-05-25,337.88851214108695
2018-05-26,360.18267173985413
2018-05-27,384.22347117083183
2018-05-28,365.5215079113254
2018-05-29,333.72140926375863
2018-05-30,323.2087327461666
2018-05-31,323.4752648561443
2018-06-01,331.1054643062288
2018-06-02,359.4565571676663
2018-06-03,380.50207764758517
2018-06-04,368.155646105467
2018-06-05,337.34397200747173
2018-06-06,329.3919170163193
2018-06-07,332.5902010420989
2018-06-08,339.6953321568728
2018-06-09,366.048093666318
2018-06-10,391.20017910398
2018-06-11,395.85265871007806
2018-06-12,357.7297676920359
2018-06-13,351.9517603839825
2018-06-14,354.9567052319766
2018-06-15,368.2564257983778
2018-06-16,387.394243562055
2018-06-17,407.17478980489483
2018-06-18,401.1950190386737
2018-06-19,373.4525224379929
2018-06-20,358.4476489000139
2018-06-21,356.2465333600341
2018-06-22,368.8772057654738
2018-06-23,392.38854527110647
2018-06-24,419.09384820488543
2018-06-25,381.302804168076
2018-06-26,350.61641718112224
2018-06-27,343.9152180529387
2018-06-28,338.4128368072138
2018-06-29,353.6492728154861
2018-06-30,378.9391336165088
2018-07-01,398.41328022738924
2018-07-02,389.5399431445694
2018-07-03,362.08168617717587
2018-07-04,350.59129773950684
2018-07-05,355.30983721596317
2018-07-06,367.99868089043383
2018-07-07,387.13237528626894
2018-07-08,408.3889421109912
2018-07-09,373.6868761545544
2018-07-10,347.2665687434427
2018-07-11,329.19464273253345
2018-07-12,325.9111159881105
2018-07-13,338.19032575367174
2018-07-14,353.31686736749947
2018-07-15,366.2521795916567
2018-07-16,391.7682114356606
2018-07-17,358.58567223831596
2018-07-18,348.3212924833647
2018-07-19,353.96836642371034
2018-07-20,361.34724390720055
2018-07-21,378.01706049464326
2018-07-22,395.4130749081996
2018-07-23,389.1916406001793
2018-07-24,358.4132407000529
2018-07-25,352.68305171692555
2018-07-26,349.33141042850696
2018-07-27,369.29938062235806
2018-07-28,377.8817855014134
2018-07-29,399.43242018372285
2018-07-30,356.1337952502246
2018-07-31,327.0032014159664
2018-08-01,318.59441283480913
2018-08-02,318.07525904222894
2018-08-03,329.22249595645303
2018-08-04,348.0612738963067
2018-08-05,366.6823774226423
2018-08-06,352.5904763707537
2018-08-07,332.39867018254523
2018-08-08,319.91198588105726
2018-08-09,322.249697488394
2018-08-10,341.06063744712696
2018-08-11,362.47107872301126
2018-08-12,383.8498119699447
2018-08-13,393.2618074218745
2018-08-14,361.5473129084543
2018-08-15,346.3676206843109
2018-08-16,348.5519027138579
2018-08-17,360.0764730113507
2018-08-18,379.86838848182856
2018-08-19,401.30957950133336
2018-08-20,365.5562954866388
2018-08-21,337.2264983640576
2018-08-22,324.9685689756609
2018-08-23,331.11727063257945
2018-08-24,349.7641236351338
2018-08-25,373.48898107514793
2018-08-26,396.6492789836685
2018-08-27,358.8551997639906
2018-08-28,332.50371734122206
2018-08-29,324.34134505391
2018-08-30,323.7706943282561
2018-08-31,337.6214270574584
2018-09-01,355.2638296602396
2018-09-02,376.62924432189305
2018-09-03,356.8838936892558
2018-09-04,336.59544170602004
2018-09-05,325.31918637014047
2018-09-06,326.7965110268839
2018-09-07,338.33496803031727
2018-09-08,356.29708268580004
2018-09-09,379.96519540233425
2018-09-10,396.8319729996509
2018-09-11,371.0774782643718
2018-09-12,355.0167638744079
2018-09-13,353.7146214339863
2018-09-14,364.1136070519466
2018-09-15,387.5842071098396
2018-09-16,411.8564943876566
2018-09-17,384.17984348952103
2018-09-18,366.31220860296634
2018-09-19,348.82644530921664
2018-09-20,349.5559543149836
2018-09-21,355.47457626084093
2018-09-22,377.31109880613104
2018-09-23,406.83723664226983
2018-09-24,389.58904768873066
2018-09-25,364.0355918986932
2018-09-26,352.8350335364611
2018-09-27,351.82494600887236
2018-09-28,367.1949848013853
2018-09-29,388.2807826522531
2018-09-30,407.97623650359355
2018-10-01,376.5561087637138
2018-10-02,349.84600569748255
2018-10-03,345.7805750010039
2018-10-04,353.0178582478658
2018-10-05,364.9146395659959
2018-10-06,381.0918291108227
2018-10-07,398.9914037123508
2018-10-08,377.40148331105587
2018-10-09,355.8861598053256
2018-10-10,335.5207555567069
2018-10-11,334.1889789231146
2018-10-12,342.46099282655166
2018-10-13,365.21334344883576
2018-10-14,386.7165007351725
2018-10-15,355.2312043609108
2018-10-16,328.3200219535029
2018-10-17,323.5605918677198
2018-10-18,326.0213201299575
2018-10-19,339.829836290545
2018-10-20,359.2577326204663
2018-10-21,380.2270402642236
2018-10-22,365.8291365521323
2018-10-23,340.8813685125026
2018-10-24,321.697586577442
2018-10-25,326.56337003678414
2018-10-26,340.12797999898817
2018-10-27,354.1408873562467
2018-10-28,379.21353982433124
2018-10-29,358.901979581257
2018-10-30,338.1943416517634
2018-10-31,319.6110686770137
2018-11-01,319.92304541858755
2018-11-02,332.2225796872396
2018-11-03,351.20277680695483
2018-11-04,371.81769410688787
2018-11-05,367.004435176979
2018-11-06,342.7100310701471
2018-11-07,327.1784663486503
2018-11-08,326.40954949744656
2018-11-09,347.67791367530697
2018-11-10,369.43974336963754
2018-11-11,385.9381972705857
2018-11-12,351.9951764126644
2018-11-13,320.40445524918783
2018-11-14,313.9227096979471
2018-11-15,312.26981835621103
2018-11-16,325.38930508841645
2018-11-17,345.3731489452206
2018-11-18,368.7776923012833
2018-11-19,357.318294587478
2018-11-20,330.72402058484215
2018-11-21,320.0751436828776
2018-11-22,317.0085598923848
2018-11-23,326.7936018381126
2018-11-24,344.91287337492764
2018-11-25,364.6423190689086
2018-11-26,361.0377631270974
2018-11-27,335.64869442970445
2018-11-28,326.061983548799
2018-11-29,327.91678130280377
2018-11-30,338.80656589577694
2018-12-01,356.6099467611267
2018-12-02,382.34448185376766
2018-12-03,354.5578626414177
2018-12-04,324.72399632750216
2018-12-05,308.92993934343804
2018-12-06,318.6965389818565
2018-12-07,328.1875340528427
2018-12-08,345.60348750906707
2018-12-09,359.200820833098
2018-12-10,363.21001711414647
2018-12-11,335.78642071503776
2018-12-12,323.77655115902184
2018-12-13,319.63401533105366
2018-12-14,331.4781947031504
2018-12-15,357.14370595292115
2018-12-16,376.45887027889495
2018-12-17,355.38650404888256
2018-12-18,331.19039050414693
2018-12-19,317.5009209421551
2018-12-20,320.71687346174843
2018-12-21,336.332017539595
2018-12-22,356.3497895266367
2018-12-23,373.9731137527412
2018-12-24,369.30365126198694
2018-12-25,355.2641168447554
2018-12-26,346.3039657312586
2018-12-27,343.7691942648283
2018-12-28,346.9619920342794
2018-12-29,365.5375403749791
2018-12-30,384.4476691314067
2018-12-31,377.7746831896012
2019-01-01,353.3642995513667
2019-01-02,337.5758934615409
2019-01-03,338.4777134104308
2019-01-04,344.3410029417595
2019-01-05,369.3581176151066
2019-01-06,387.8808861384685
2019-01-07,339.16020957942715
2019-01-08,312.08847009771443
2019-01-09,301.4350081057407
2019-01-10,295.6976734233966
2019-01-11,311.56015229787727
2019-01-12,331.74819702069567
2019-01-13,360.60918219634357
2019-01-14,354.4342940680401
2019-01-15,323.06280797516627
2019-01-16,318.8733841137925
2019-01-17,325.5166386813013
2019-01-18,346.1565701485486
2019-01-19,376.75686435851566
2019-01-20,403.260321587924
2019-01-21,400.15958042781426
2019-01-22,396.27454337603814
2019-01-23,383.8034459616977
2019-01-24,390.42163654752846
2019-01-25,420.78722531919556
2019-01-26,441.5128557562384
2019-01-27,455.03968679280933
2019-01-28,399.5006537280845
2019-01-29,372.1047313231984
2019-01-30,366.22073465776396
2019-01-31,381.5033635902819
2019-02-01,404.00757969738964
2019-02-02,431.7483910515943
2019-02-03,461.049453266504
2019-02-04,720.0309396091951
2019-02-05,655.4115999394119
2019-02-06,561.8952868617603
2019-02-07,493.14922056638983
2019-02-08,477.37937794334016
2019-02-09,473.9535311739309
2019-02-10,502.194455967592
2019-02-11,474.23817279371934
2019-02-12,417.80532476145254
2019-02-13,391.34092271339864
2019-02-14,375.98678357798855
2019-02-15,368.2586617178288
2019-02-16,387.6284837045894
2019-02-17,387.4304453285105
2019-02-18,403.9672794796365
2019-02-19,383.34830834324356
2019-02-20,373.5628268186585
2019-02-21,370.27023253558986
2019-02-22,387.629749632843
2019-02-23,412.9987187897927
2019-02-24,438.6562042879178
2019-02-25,398.57194512475724
2019-02-26,370.3293819423535
2019-02-27,364.56856229997624
2019-02-28,368.368828245873
2019-03-01,387.4126294333055
2019-03-02,405.1523862486441
2019-03-03,428.44510331371845
2019-03-04,383.11734283852604
2019-03-05,367.48096732185337
2019-03-06,361.88730017172674
2019-03-07,367.22445562848543
2019-03-08,388.3782457380649
2019-03-09,405.4856657895148
2019-03-10,427.5153916769632
2019-03-11,379.8743849078361
2019-03-12,348.19838378548576
2019-03-13,331.92960354585324
2019-03-14,329.6361899603255
2019-03-15,347.53554408941795
2019-03-16,368.78654196313704
2019-03-17,385.26724713811524
2019-03-18,399.39268349766087
2019-03-19,365.4798643432226
2019-03-20,353.03142614352595
2019-03-21,359.7939179825214
2019-03-22,363.9550296574094
2019-03-23,385.24039242854803
2019-03-24,402.24124520957747
2019-03-25,391.43337251068294
2019-03-26,366.72790458131544
2019-03-27,351.0216894002922
2019-03-28,354.32374076867643
2019-03-29,366.1141134774684
2019-03-30,388.62492172237523
2019-03-31,414.31835386226743
2019-04-01,382.7230896475485
2019-04-02,355.62544217855395
2019-04-03,351.9116215700715
2019-04-04,355.0807774603427
2019-04-05,372.55603530486536
2019-04-06,394.27830133997156
2019-04-07,417.01922553324437
2019-04-08,386.9141127757774
2019-04-09,349.5424510025281
2019-04-10,336.5413107475322
2019-04-11,339.5352950598293
2019-04-12,354.01971310816555
2019-04-13,375.2040999013473
2019-04-14,383.3090643573472
2019-04-15,376.60256002333455
2019-04-16,353.43882137407394
2019-04-17,339.6188432845103
2019-04-18,342.41923544121374
2019-04-19,354.40456928751536
2019-04-20,375.3434352738201
2019-04-21,393.9883357894255
2019-04-22,381.44357139867816
2019-04-23,355.0287889949828
2019-04-24,337.9242408387144
2019-04-25,337.34055634625696
2019-04-26,350.1839837098442
2019-04-27,365.03641599415863
2019-04-28,385.78927460165386
2019-04-29,381.68883014285524
2019-04-30,356.0116988805573
2019-05-01,346.8168826326281
2019-05-02,345.2832816888467
2019-05-03,358.64889926087875
2019-05-04,376.4690245528667
2019-05-05,395.2997501549112
2019-05-06,374.82903975436074
2019-05-07,348.89080791854235
2019-05-08,337.92405715626205
2019-05-09,342.5955127580995
2019-05-10,355.67728912266006
2019-05-11,377.4125511571847
2019-05-12,404.41677865680015
2019-05-13,365.97891386874284
2019-05-14,341.6255715937242
2019-05-15,335.04302452017123
2019-05-16,325.2740304591053
2019-05-17,347.664475708938
2019-05-18,364.7817174955452
2019-05-19,392.9525632422983
2019-05-20,379.4167083012297
2019-05-21,360.1312129290292
2019-05-22,351.63848527756267
2019-05-23,353.88194088593605
2019-05-24,368.75849061312437
2019-05-25,383.66013295414007
2019-05-26,409.02963443697
2019-05-27,401.62515935643665
2019-05-28,377.1871810553555
2019-05-29,359.3285950129827
2019-05-30,359.1563184815209
2019-05-31,371.71707788729185
2019-06-01,387.6740290416385
2019-06-02,413.7099269493277
2019-06-03,409.36912207792176
