number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_learning_rate,params_n_rnn_layers,state
0,6.128804905096609,2024-10-23 07:51:26.675918,2024-10-23 07:52:48.745679,0 days 00:01:22.069761,0.4789267873576293,204,0.0071144760093434225,3,COMPLETE
1,8.121890207739915,2024-10-23 07:52:48.750693,2024-10-23 07:53:31.774523,0 days 00:00:43.023830,0.6929409166199482,96,2.9375384576328295e-05,1,COMPLETE
2,7.068814830933396,2024-10-23 07:53:31.779496,2024-10-23 07:54:21.272013,0 days 00:00:49.492517,0.7759278817295955,316,0.001331121608073689,1,COMPLETE
3,7.31994648084901,2024-10-23 07:54:21.274353,2024-10-23 07:55:27.399562,0 days 00:01:06.125209,0.14672360788274705,430,4.335281794951564e-05,1,COMPLETE
4,6.7306318465697945,2024-10-23 07:55:27.402590,2024-10-23 07:56:19.491786,0 days 00:00:52.089196,0.23298331215843354,169,0.00037520558551242813,2,COMPLETE
5,7.537971244514841,2024-10-23 07:56:19.493787,2024-10-23 07:58:00.275960,0 days 00:01:40.782173,0.2930894746349534,321,2.621087878265438e-05,2,COMPLETE
6,5.8173401731484375,2024-10-23 07:58:00.278964,2024-10-23 07:58:46.785888,0 days 00:00:46.506924,0.4113875507308893,244,0.0022673986523780395,1,COMPLETE
7,7.552669253937517,2024-10-23 07:58:46.789943,2024-10-23 08:01:00.750900,0 days 00:02:13.960957,0.13641929894983323,312,1.3783237455007187e-05,3,COMPLETE
8,6.069819744818878,2024-10-23 08:01:00.754794,2024-10-23 08:01:44.129456,0 days 00:00:43.374662,0.646717878493169,52,0.007025166339242158,4,COMPLETE
9,7.655886634711224,2024-10-23 08:01:44.132826,2024-10-23 08:02:48.548629,0 days 00:01:04.415803,0.35212199499168106,170,1.9634341572933304e-05,3,COMPLETE
10,6.049784062796909,2024-10-23 08:02:48.553625,2024-10-23 08:05:44.956854,0 days 00:02:56.403229,0.511838554501388,485,0.001313411927303948,2,COMPLETE
11,6.4605480655413245,2024-10-23 08:05:44.957779,2024-10-23 08:08:23.748131,0 days 00:02:38.790352,0.49926682173789244,481,0.0013711669318993227,2,COMPLETE
12,5.917191632725944,2024-10-23 08:08:23.750119,2024-10-23 08:09:06.363967,0 days 00:00:42.613848,0.5359259483820258,406,0.001641408334069425,1,COMPLETE
13,6.929346295547078,2024-10-23 08:09:06.365031,2024-10-23 08:09:43.185111,0 days 00:00:36.820080,0.6037172878179623,380,0.0003810212963034206,1,COMPLETE
14,7.00611809549002,2024-10-23 08:09:43.186111,2024-10-23 08:10:04.733333,0 days 00:00:21.547222,0.41452733253145496,233,0.0030425441794264766,1,COMPLETE
15,7.578050333182436,2024-10-23 08:10:04.733333,2024-10-23 08:14:01.883463,0 days 00:03:57.150130,0.5845585076927878,392,0.00010891337991705888,4,COMPLETE
16,6.521171130084479,2024-10-23 08:14:01.884464,2024-10-23 08:14:25.739865,0 days 00:00:23.855401,0.39231534042025384,283,0.003305931405009198,1,COMPLETE
17,6.9671098175169615,2024-10-23 08:14:25.740865,2024-10-23 08:15:52.830078,0 days 00:01:27.089213,0.24776583020797247,351,0.0007014093271943283,2,COMPLETE
18,7.21017171100662,2024-10-23 08:15:52.831170,2024-10-23 08:16:14.718574,0 days 00:00:21.887404,0.7964662772935779,250,0.00013062974500794712,1,COMPLETE
19,6.871543791663299,2024-10-23 08:16:14.719616,2024-10-23 08:18:22.223996,0 days 00:02:07.504380,0.05777865706520968,439,0.0032207458745857455,2,COMPLETE
20,7.082574443380812,2024-10-23 08:18:22.224955,2024-10-23 08:18:31.869851,0 days 00:00:09.644896,0.5513246583878897,115,0.0001399524203692338,1,COMPLETE
21,5.975821433599423,2024-10-23 08:18:31.871051,2024-10-23 08:21:09.661097,0 days 00:02:37.790046,0.46215748744814017,486,0.0010852359060713925,2,COMPLETE
22,5.775202411875908,2024-10-23 08:21:09.663116,2024-10-23 08:23:16.740417,0 days 00:02:07.077301,0.4388168243413608,436,0.0008284109266461547,2,COMPLETE
23,6.405359049119969,2024-10-23 08:23:16.741425,2024-10-23 08:24:01.715761,0 days 00:00:44.974336,0.32593153362714034,427,0.0006577390361428076,1,COMPLETE
24,5.963530756402398,2024-10-23 08:24:01.716761,2024-10-23 08:26:56.107788,0 days 00:02:54.391027,0.41282291094761636,387,0.0024952614955550917,3,COMPLETE
25,6.055753933965872,2024-10-23 08:26:56.108826,2024-10-23 08:29:40.657980,0 days 00:02:44.549154,0.44403768795310533,507,0.0002070671508628281,2,COMPLETE
26,6.5171683444554755,2024-10-23 08:29:40.658992,2024-10-23 08:30:16.594334,0 days 00:00:35.935342,0.3707134548919459,354,0.000645749709927587,1,COMPLETE
27,5.987307400777425,2024-10-23 08:30:16.595386,2024-10-23 08:30:40.458422,0 days 00:00:23.863036,0.6756333981718743,281,0.005363192902938165,1,COMPLETE
28,6.320197374879637,2024-10-23 08:30:40.459361,2024-10-23 08:33:02.778612,0 days 00:02:22.319251,0.5391106391548327,450,0.0021434418537225513,2,COMPLETE
29,6.4057572052785865,2024-10-23 08:33:02.780529,2024-10-23 08:34:00.115332,0 days 00:00:57.334803,0.47960274987639023,206,0.008080306988880362,3,COMPLETE
