Date,No
2018-01-01,185.36473358946563
2018-01-02,168.69428803541362
2018-01-03,173.65917352855192
2018-01-04,182.79880019256996
2018-01-05,173.8362794251329
2018-01-06,202.49029065028736
2018-01-07,216.66657233226437
2018-01-08,195.29446648479183
2018-01-09,171.5244210700594
2018-01-10,160.92969230151363
2018-01-11,172.85660228501703
2018-01-12,170.6970237029599
2018-01-13,182.49687841300715
2018-01-14,233.6214790462234
2018-01-15,194.60849259615625
2018-01-16,191.48678770276388
2018-01-17,197.67992324654753
2018-01-18,200.07185700017817
2018-01-19,220.7647377338639
2018-01-20,206.51884617613877
2018-01-21,239.06151099868015
2018-01-22,211.77640899788668
2018-01-23,217.67637617354734
2018-01-24,271.7455599472555
2018-01-25,257.990385645094
2018-01-26,224.05073766483397
2018-01-27,255.58899563450473
2018-01-28,250.1882371904422
2018-01-29,194.36493328681286
2018-01-30,193.69774948587428
2018-01-31,192.60816388685592
2018-02-01,239.8624375087557
2018-02-02,218.98167926116514
2018-02-03,188.72067943699312
2018-02-04,272.13911775153383
2018-02-05,192.06376300490098
2018-02-06,190.01952113876476
2018-02-07,238.4464239669471
2018-02-08,244.94126781753366
2018-02-09,252.81230345178452
2018-02-10,242.50066230014556
2018-02-11,258.6115457616856
2018-02-12,217.27761908273206
2018-02-13,220.1306011920308
2018-02-14,259.10833715138733
2018-02-15,235.23444309355423
2018-02-16,186.2102976813065
2018-02-17,221.59786172165965
2018-02-18,240.08348658529027
2018-02-19,368.24586857385293
2018-02-20,237.88218181510797
2018-02-21,250.3394478318118
2018-02-22,242.9595698634262
2018-02-23,240.36116838064856
2018-02-24,233.9622364966003
2018-02-25,261.256529195619
2018-02-26,205.2962020962567
2018-02-27,206.12593318341752
2018-02-28,210.58224351288024
2018-03-01,202.59702523580498
2018-03-02,207.60735792840327
2018-03-03,209.88455374914247
2018-03-04,241.79874628976833
2018-03-05,214.1829813504855
2018-03-06,207.67406208870597
2018-03-07,214.98566169329675
2018-03-08,181.2990171669488
2018-03-09,188.73144154623228
2018-03-10,227.6743074376105
2018-03-11,223.84660463855863
2018-03-12,214.48649581830804
2018-03-13,199.7508895046748
2018-03-14,203.39615765670032
2018-03-15,188.61261568062545
2018-03-16,193.32804715997364
2018-03-17,216.14290530964686
2018-03-18,270.25401065739334
2018-03-19,201.43581362642655
2018-03-20,192.97642343848483
2018-03-21,193.34444804405373
2018-03-22,187.91593342338993
2018-03-23,181.64927886857322
2018-03-24,191.99627151905858
2018-03-25,239.9817254775439
2018-03-26,193.07169465698593
2018-03-27,190.66583335167553
2018-03-28,174.00500999144933
2018-03-29,186.71893655207626
2018-03-30,184.39277531094064
2018-03-31,207.29390063404745
2018-04-01,255.64007531455292
2018-04-02,200.61112571641127
2018-04-03,214.12028392876698
2018-04-04,206.5424306391181
2018-04-05,202.58696494409247
2018-04-06,217.50542706738307
2018-04-07,218.01298808956716
2018-04-08,256.68102859566727
2018-04-09,190.9018132379739
2018-04-10,199.1290618565754
2018-04-11,192.84140003738432
2018-04-12,189.23174207211764
2018-04-13,184.5536572575491
2018-04-14,195.48000672396165
2018-04-15,223.36964709031986
2018-04-16,197.08038609526625
2018-04-17,186.11629431251203
2018-04-18,184.1552603804582
2018-04-19,192.54620176666975
2018-04-20,202.82140430421813
2018-04-21,201.92039487344042
2018-04-22,247.8779546329046
2018-04-23,190.30503868186986
2018-04-24,188.62755167567641
2018-04-25,179.6432483408671
2018-04-26,185.34210216596347
2018-04-27,194.96875526443358
2018-04-28,204.2360944999678
2018-04-29,223.29635466494332
2018-04-30,189.0091661424104
2018-05-01,178.00785775950504
2018-05-02,178.99758706876366
2018-05-03,194.74435475509551
2018-05-04,195.08670383734275
2018-05-05,204.16959389321448
2018-05-06,230.4793650407906
2018-05-07,190.56935207419025
2018-05-08,174.7139740042801
2018-05-09,176.7519413544288
2018-05-10,175.7550623959788
2018-05-11,194.48649597088647
2018-05-12,205.75099178002958
2018-05-13,229.48831196916143
2018-05-14,192.67630401085566
2018-05-15,179.2203104646351
2018-05-16,178.3480407523377
2018-05-17,181.06412713308546
2018-05-18,195.36342263862315
2018-05-19,200.1540509890589
2018-05-20,227.84422392162435
2018-05-21,192.20114035424209
2018-05-22,169.33753681786408
2018-05-23,171.52752240660436
2018-05-24,166.53885554713943
2018-05-25,190.23951826726633
2018-05-26,191.20867832739185
2018-05-27,229.51101120164105
2018-05-28,187.93084304399926
2018-05-29,175.70843719821676
2018-05-30,175.0332192636908
2018-05-31,176.34544944327013
2018-06-01,180.0621422719205
2018-06-02,192.8223911110802
2018-06-03,229.97768861863153
2018-06-04,192.00356083776418
2018-06-05,183.98218918711174
2018-06-06,175.8042849992744
2018-06-07,171.53284564133563
2018-06-08,184.74465829140658
2018-06-09,203.22756188621142
2018-06-10,235.65655948058006
2018-06-11,187.62854632780758
2018-06-12,178.6936599220643
2018-06-13,180.7431883948471
2018-06-14,170.51474037821956
2018-06-15,177.92145292494286
2018-06-16,199.03160659336856
2018-06-17,229.7328922916714
2018-06-18,230.34564688789754
2018-06-19,192.04715046033303
2018-06-20,183.4929879566874
2018-06-21,189.3613836631431
2018-06-22,199.26130947527523
2018-06-23,213.65847613873808
2018-06-24,252.43180237646735
2018-06-25,187.28950454810223
2018-06-26,179.12609745735438
2018-06-27,176.6442646373966
2018-06-28,177.14676000666336
2018-06-29,181.07242982326636
2018-06-30,199.03948333902102
2018-07-01,227.41224061414889
2018-07-02,192.38216430642584
2018-07-03,176.1493253269691
2018-07-04,177.56472768427642
2018-07-05,191.19205881482702
2018-07-06,194.12609514440686
2018-07-07,194.95752794630118
2018-07-08,228.47410456711034
2018-07-09,191.51557809458285
2018-07-10,190.34522335271168
2018-07-11,179.45625402568123
2018-07-12,178.1377681756794
2018-07-13,178.80479342775
2018-07-14,201.95596978679444
2018-07-15,222.4677413187105
2018-07-16,229.81985440886427
2018-07-17,201.66642306510545
2018-07-18,201.74516081499232
2018-07-19,186.9105591039276
2018-07-20,194.39873852219134
2018-07-21,206.54977655365485
2018-07-22,261.3501607468071
2018-07-23,192.46204227999272
2018-07-24,180.3087010437034
2018-07-25,178.69401846319627
2018-07-26,177.41601622515768
2018-07-27,186.93314357807313
2018-07-28,199.1041812793678
2018-07-29,224.75194398080703
2018-07-30,222.9911516967495
2018-07-31,187.21243032201272
2018-08-01,175.5500326853037
2018-08-02,199.16112100427253
2018-08-03,196.1981856607929
2018-08-04,218.74368448243396
2018-08-05,240.03011622547808
2018-08-06,196.08490642794004
2018-08-07,188.7325600043194
2018-08-08,188.99495802146936
2018-08-09,192.12794163162198
2018-08-10,196.29885534454013
2018-08-11,216.62772588821488
2018-08-12,246.9635351087632
2018-08-13,194.48574648250028
2018-08-14,187.20033920837724
2018-08-15,200.76398935347763
2018-08-16,183.43878492447033
2018-08-17,192.5699621390724
2018-08-18,206.4025525833056
2018-08-19,245.89719358260493
2018-08-20,197.0173506148322
2018-08-21,192.22293619331353
2018-08-22,195.04649526536434
2018-08-23,178.55690334448028
2018-08-24,196.49748687522742
2018-08-25,209.35759195540936
2018-08-26,231.18387339722145
2018-08-27,193.85117450451688
2018-08-28,189.67248414507534
2018-08-29,184.1505322742016
2018-08-30,198.004394231121
2018-08-31,190.11060047976503
2018-09-01,204.4073966414773
2018-09-02,224.88039613679226
2018-09-03,196.05236895117528
2018-09-04,185.55164924105412
2018-09-05,189.39683186169623
2018-09-06,196.77272670777083
2018-09-07,194.31872219450798
2018-09-08,217.18745647147688
2018-09-09,234.81651633307098
2018-09-10,200.68533405546543
2018-09-11,188.34820642476166
2018-09-12,185.75826022703217
2018-09-13,179.89362548144447
2018-09-14,191.91944945224444
2018-09-15,210.49249676299755
2018-09-16,246.61932534493107
2018-09-17,199.09576997704602
2018-09-18,200.85466954576162
2018-09-19,184.19393269031292
2018-09-20,201.03247976409682
2018-09-21,212.82975305691804
2018-09-22,214.47841640793973
2018-09-23,241.37221018386984
2018-09-24,253.4726005732281
2018-09-25,223.8412767143343
2018-09-26,203.5618607990852
2018-09-27,197.99591469493512
2018-09-28,214.90331171424577
2018-09-29,234.14994356766056
2018-09-30,251.77103103227478
2018-10-01,205.3632057792332
2018-10-02,183.94479491582425
2018-10-03,191.41008141801873
2018-10-04,189.92011256635104
2018-10-05,209.72398695989997
2018-10-06,226.17448908907355
2018-10-07,238.890776324175
2018-10-08,208.99981973154874
2018-10-09,202.01179220814768
2018-10-10,177.97500804540093
2018-10-11,195.4618180376926
2018-10-12,190.9924569982075
2018-10-13,195.25404383481444
2018-10-14,233.93357067309273
2018-10-15,188.52741231030103
2018-10-16,181.94215867378708
2018-10-17,171.3742293839841
2018-10-18,181.44599311968997
2018-10-19,193.61624574783878
2018-10-20,203.35686279970972
2018-10-21,237.4290721115835
2018-10-22,189.5354203875653
2018-10-23,169.4519337139882
2018-10-24,168.202739967034
2018-10-25,171.40472591477845
2018-10-26,175.88719803448618
2018-10-27,195.64877577385008
2018-10-28,229.84708476685768
2018-10-29,185.02357305394153
2018-10-30,169.89865098052996
2018-10-31,157.7530746049869
2018-11-01,161.69227149195115
2018-11-02,172.6278977827166
2018-11-03,190.48442456660482
2018-11-04,215.48202985488825
2018-11-05,194.16168138115913
2018-11-06,162.0533730607968
2018-11-07,168.5860233226328
2018-11-08,171.32880756573064
2018-11-09,180.19693683435946
2018-11-10,192.4532526664126
2018-11-11,215.4438664903413
2018-11-12,179.27763797545575
2018-11-13,170.8287762515656
2018-11-14,166.78889710785145
2018-11-15,166.60744020061998
2018-11-16,175.74468315912807
2018-11-17,190.43767914424583
2018-11-18,214.45918307908676
2018-11-19,189.348181866409
2018-11-20,170.70724388226085
2018-11-21,169.95810140679845
2018-11-22,184.4733128637304
2018-11-23,186.91758911082448
2018-11-24,194.32150167079047
2018-11-25,216.88255707353022
2018-11-26,182.42073480531633
2018-11-27,171.2935697507926
2018-11-28,172.10638050423847
2018-11-29,170.34261228299337
2018-11-30,174.89761357901142
2018-12-01,190.85395966908274
2018-12-02,235.39577254962546
2018-12-03,187.7801102660336
2018-12-04,172.4256329181907
2018-12-05,178.85410145696952
2018-12-06,172.53882662401563
2018-12-07,173.43676785611783
2018-12-08,193.8734667650005
2018-12-09,217.6298127521126
2018-12-10,188.1761296733509
2018-12-11,171.01007758760773
2018-12-12,176.73380812216706
2018-12-13,173.6202000234856
2018-12-14,172.39367320364914
2018-12-15,198.63339557387175
2018-12-16,226.3336399002265
2018-12-17,174.39725203204577
2018-12-18,165.9385694345872
2018-12-19,168.5425737493508
2018-12-20,169.91539205731578
2018-12-21,182.72323735109094
2018-12-22,183.24227204104838
2018-12-23,229.02198308246656
2018-12-24,193.77844491593876
2018-12-25,167.5210510625898
2018-12-26,175.49991764642448
2018-12-27,175.9314963687916
2018-12-28,184.59988531142065
2018-12-29,191.5828877210466
2018-12-30,224.8637474570996
2018-12-31,192.53482050933766
2019-01-01,190.07063599059666
2019-01-02,177.71569149680886
2019-01-03,183.4933611236481
2019-01-04,208.00012591251743
2019-01-05,192.28737291264645
2019-01-06,239.21116472364838
2019-01-07,193.19331319035194
2019-01-08,173.6609424135225
2019-01-09,183.15411571316127
2019-01-10,179.22159604375602
2019-01-11,197.49872116536673
2019-01-12,207.85569569924425
2019-01-13,228.3465027499698
2019-01-14,193.78995851694918
2019-01-15,184.06682924135876
2019-01-16,192.90301814920625
2019-01-17,186.84880675550258
2019-01-18,198.04732076579634
2019-01-19,208.74296901337954
2019-01-20,264.50214540333275
2019-01-21,189.2081233388765
2019-01-22,209.93288103994064
2019-01-23,174.2587048183935
2019-01-24,180.21689002907416
2019-01-25,220.45633514676823
2019-01-26,245.1906051174877
2019-01-27,288.0201411557984
2019-01-28,199.89775180551212
2019-01-29,235.69548388129957
2019-01-30,256.40427393922795
2019-01-31,255.7508523210693
2019-02-01,236.91558349656333
2019-02-02,294.0086767383475
2019-02-03,280.9173926614099
2019-02-04,421.80782536435174
2019-02-05,427.2755901395213
2019-02-06,393.8889998698616
2019-02-07,265.536617815193
2019-02-08,253.90007182727143
2019-02-09,281.53914137627584
2019-02-10,301.35015699417704
2019-02-11,238.88731285114133
2019-02-12,232.45776828222264
2019-02-13,203.6059798716613
2019-02-14,216.58998715920256
2019-02-15,217.0072152595979
2019-02-16,214.18566306740124
2019-02-17,280.2900625779366
2019-02-18,195.31299288947696
2019-02-19,196.13639880721416
2019-02-20,201.32056228466197
2019-02-21,208.7117805800022
2019-02-22,222.6918557442622
2019-02-23,234.20358032740077
2019-02-24,263.35312922307656
2019-02-25,198.60116599404935
2019-02-26,189.5032432879432
2019-02-27,179.56251811421274
2019-02-28,207.8880975620108
2019-03-01,221.08576996652212
2019-03-02,207.78323447685898
2019-03-03,242.0612452740809
2019-03-04,204.8277572232039
2019-03-05,197.79950015949677
2019-03-06,198.2090322046282
2019-03-07,191.4458785628066
2019-03-08,205.69003293184682
2019-03-09,219.4506852352019
2019-03-10,252.96435112235181
2019-03-11,193.2071403760117
2019-03-12,182.60984354508267
2019-03-13,175.8374292754596
2019-03-14,181.55103462004814
2019-03-15,195.76566401023757
2019-03-16,211.0019161970257
2019-03-17,242.24092830289675
2019-03-18,196.5487303782208
2019-03-19,187.04786339725757
2019-03-20,185.55101090764822
2019-03-21,178.2622100976672
2019-03-22,193.03838854173324
2019-03-23,208.62650007691838
2019-03-24,243.75353970635186
2019-03-25,187.469758335194
2019-03-26,170.9335266681534
2019-03-27,171.40415688053605
2019-03-28,183.02026815785405
2019-03-29,178.01650349508748
2019-03-30,200.65651975058097
2019-03-31,218.60821593564316
2019-04-01,188.8357158854098
2019-04-02,183.44551129438952
2019-04-03,193.59896068548187
2019-04-04,195.04279371129866
2019-04-05,207.38907354161833
2019-04-06,211.41809550535004
2019-04-07,237.65522797990062
2019-04-08,199.17348980766283
2019-04-09,193.29211601251149
2019-04-10,194.47786561039695
2019-04-11,199.0059669172417
2019-04-12,188.6761039526696
2019-04-13,200.3159083116241
2019-04-14,216.6463171665345
2019-04-15,200.23401238637848
2019-04-16,186.22913011578183
2019-04-17,184.23614261456441
2019-04-18,188.6864367543588
2019-04-19,212.0959549010834
2019-04-20,212.11835934158455
2019-04-21,249.99440141957726
2019-04-22,192.77952015025105
2019-04-23,191.8337485285806
2019-04-24,187.44408560735513
2019-04-25,182.01233737736456
2019-04-26,193.31941715121542
2019-04-27,203.88311749951754
2019-04-28,226.3699607514861
2019-04-29,202.2015714878
2019-04-30,188.79994126090668
2019-05-01,186.09182048331894
2019-05-02,187.22124293616062
2019-05-03,192.04976208771978
2019-05-04,206.98185979271028
2019-05-05,234.90172091079089
2019-05-06,205.85005331023942
2019-05-07,186.90930395161226
2019-05-08,183.64523853931726
2019-05-09,187.4155179396262
2019-05-10,204.7106978692377
2019-05-11,204.95973367814784
2019-05-12,230.96197569938573
2019-05-13,199.1885747350073
2019-05-14,194.2416738885314
2019-05-15,187.55346555719004
2019-05-16,183.3670230230139
2019-05-17,194.89030187081755
2019-05-18,208.45045995351768
2019-05-19,240.87833536096613
2019-05-20,207.85513742354576
2019-05-21,197.76490510403735
2019-05-22,202.295341895026
2019-05-23,204.05004757694482
2019-05-24,198.78090538982357
2019-05-25,224.64941599793667
2019-05-26,248.70301444889512
2019-05-27,194.95916625576137
2019-05-28,192.3966566036825
2019-05-29,193.37989867106208
2019-05-30,185.94512146271657
2019-05-31,199.3300235934893
2019-06-01,214.59620266369046
