number,value,datetime_start,datetime_complete,duration,params_lags,params_lags_past_covariates,state
0,7.967961243743313,2024-10-03 22:46:00.313889,2024-10-03 22:46:08.330841,0 days 00:00:08.016952,29,12,COMPLETE
1,8.595022425168176,2024-10-03 22:46:08.330841,2024-10-03 22:46:15.964869,0 days 00:00:07.634028,18,22,COMPLETE
2,8.989569991103911,2024-10-03 22:46:15.966046,2024-10-03 22:46:20.816441,0 days 00:00:04.850395,5,5,COMPLETE
3,8.571185894533235,2024-10-03 22:46:20.817464,2024-10-03 22:46:26.476577,0 days 00:00:05.659113,26,2,COMPLETE
4,8.156319941583956,2024-10-03 22:46:26.477584,2024-10-03 22:46:33.777344,0 days 00:00:07.299760,22,19,COMPLETE
5,8.511728484632199,2024-10-03 22:46:33.779347,2024-10-03 22:46:39.811534,0 days 00:00:06.032187,30,1,COMPLETE
6,8.697286327346152,2024-10-03 22:46:39.812552,2024-10-03 22:46:46.864410,0 days 00:00:07.051858,7,25,COMPLETE
7,8.974275460329379,2024-10-03 22:46:46.865408,2024-10-03 22:46:51.775869,0 days 00:00:04.910461,6,6,COMPLETE
8,8.798632137773359,2024-10-03 22:46:51.776196,2024-10-03 22:46:58.349457,0 days 00:00:06.573261,16,10,COMPLETE
9,9.698029083881819,2024-10-03 22:46:58.350468,2024-10-03 22:47:04.038105,0 days 00:00:05.687637,9,13,COMPLETE
10,8.487026445239243,2024-10-03 22:47:04.038105,2024-10-03 22:47:13.616748,0 days 00:00:09.578643,23,29,COMPLETE
11,8.156319941583956,2024-10-03 22:47:13.616748,2024-10-03 22:47:20.655758,0 days 00:00:07.039010,22,19,COMPLETE
12,7.85577689087394,2024-10-03 22:47:20.656768,2024-10-03 22:47:29.509703,0 days 00:00:08.852935,28,17,COMPLETE
13,8.171582635299979,2024-10-03 22:47:29.510789,2024-10-03 22:47:36.579012,0 days 00:00:07.068223,30,14,COMPLETE
14,8.780693145262779,2024-10-03 22:47:36.580518,2024-10-03 22:47:42.781220,0 days 00:00:06.200702,12,10,COMPLETE
15,7.91386634912213,2024-10-03 22:47:42.781220,2024-10-03 22:47:50.593406,0 days 00:00:07.812186,27,18,COMPLETE
16,8.274846472783818,2024-10-03 22:47:50.594876,2024-10-03 22:47:58.676725,0 days 00:00:08.081849,26,18,COMPLETE
17,8.365427082176002,2024-10-03 22:47:58.677504,2024-10-03 22:48:06.558176,0 days 00:00:07.880672,19,24,COMPLETE
18,8.33938758254696,2024-10-03 22:48:06.559274,2024-10-03 22:48:14.336852,0 days 00:00:07.777578,26,16,COMPLETE
19,8.806331318876953,2024-10-03 22:48:14.338545,2024-10-03 22:48:22.572817,0 days 00:00:08.234272,13,27,COMPLETE
20,10.058133273326252,2024-10-03 22:48:22.573807,2024-10-03 22:48:29.035018,0 days 00:00:06.461211,1,22,COMPLETE
21,8.171425654652172,2024-10-03 22:48:29.036047,2024-10-03 22:48:35.975260,0 days 00:00:06.939213,28,11,COMPLETE
22,9.232789341550975,2024-10-03 22:48:35.975995,2024-10-03 22:48:43.456899,0 days 00:00:07.480904,24,17,COMPLETE
23,8.146242443143148,2024-10-03 22:48:43.458245,2024-10-03 22:48:51.509925,0 days 00:00:08.051680,28,13,COMPLETE
24,8.387433441647001,2024-10-03 22:48:51.511467,2024-10-03 22:48:57.163317,0 days 00:00:05.651850,20,8,COMPLETE
25,8.128117790632297,2024-10-03 22:48:57.164324,2024-10-03 22:49:05.353620,0 days 00:00:08.189296,28,21,COMPLETE
26,8.368506322062633,2024-10-03 22:49:05.355013,2024-10-03 22:49:12.250322,0 days 00:00:06.895309,25,15,COMPLETE
27,8.36561441751015,2024-10-03 22:49:12.251581,2024-10-03 22:49:19.673987,0 days 00:00:07.422406,30,12,COMPLETE
28,8.063807890722623,2024-10-03 22:49:19.675571,2024-10-03 22:49:26.713130,0 days 00:00:07.037559,28,16,COMPLETE
29,8.497349976248877,2024-10-03 22:49:26.714317,2024-10-03 22:49:34.736913,0 days 00:00:08.022596,20,20,COMPLETE
