Date,No
2018-01-01,367.3910648430882
2018-01-02,358.617701240242
2018-01-03,324.07642403444146
2018-01-04,340.36295176199445
2018-01-05,369.0852610795739
2018-01-06,370.5809745193931
2018-01-07,410.0388628497564
2018-01-08,385.35643165810046
2018-01-09,357.309385852991
2018-01-10,346.6629647780414
2018-01-11,330.11613318014344
2018-01-12,359.15321623360427
2018-01-13,361.0283223343336
2018-01-14,400.8248202238691
2018-01-15,370.77138739280673
2018-01-16,354.9635016775562
2018-01-17,324.4764551997469
2018-01-18,331.72481076884856
2018-01-19,347.4449096386796
2018-01-20,381.4863458920273
2018-01-21,429.50798244407576
2018-01-22,390.2428104751652
2018-01-23,362.65461381866083
2018-01-24,376.7977358373082
2018-01-25,400.26695948076105
2018-01-26,388.62574663521264
2018-01-27,435.7976827792365
2018-01-28,441.4691043657495
2018-01-29,415.13759021660087
2018-01-30,388.739071853574
2018-01-31,478.3534655905724
2018-02-01,514.9117232664635
2018-02-02,404.9720778146929
2018-02-03,487.0572609622162
2018-02-04,487.7747643026652
2018-02-05,365.9951727685522
2018-02-06,353.50427715733207
2018-02-07,341.21462459647347
2018-02-08,342.6983019677701
2018-02-09,374.5508710636294
2018-02-10,457.4215778674571
2018-02-11,508.5125340691307
2018-02-12,416.7435951309388
2018-02-13,382.47861894839946
2018-02-14,384.6661530867738
2018-02-15,463.240587097413
2018-02-16,443.9201752974534
2018-02-17,469.28697237656354
2018-02-18,476.2365273633924
2018-02-19,531.524527603913
2018-02-20,356.4442465622491
2018-02-21,296.55066191233294
2018-02-22,331.5720738789939
2018-02-23,358.620085113317
2018-02-24,382.27421342958314
2018-02-25,475.0948766578429
2018-02-26,419.7528756715718
2018-02-27,434.4702910422099
2018-02-28,414.65563010323353
2018-03-01,425.77733373172913
2018-03-02,412.0234232489422
2018-03-03,400.63620040064717
2018-03-04,442.1850222799325
2018-03-05,402.5728103574582
2018-03-06,378.5382079499906
2018-03-07,382.1119468231597
2018-03-08,333.10926684997474
2018-03-09,359.6091598949815
2018-03-10,363.2730806053873
2018-03-11,409.5552881587034
2018-03-12,411.0916916494052
2018-03-13,395.257960666391
2018-03-14,386.9057753386047
2018-03-15,360.9027531764759
2018-03-16,389.7560022015154
2018-03-17,404.56307675631973
2018-03-18,424.6093992610856
2018-03-19,413.5586360655914
2018-03-20,371.3465193578754
2018-03-21,383.3107096070595
2018-03-22,357.3097940262255
2018-03-23,367.1387133338281
2018-03-24,380.33232910892986
2018-03-25,401.8511762504001
2018-03-26,394.56028166131773
2018-03-27,349.20295099151923
2018-03-28,352.33047590477224
2018-03-29,349.45448032660784
2018-03-30,353.4133511378416
2018-03-31,377.91289776899526
2018-04-01,410.9424107674937
2018-04-02,370.54936633259024
2018-04-03,374.18576010922044
2018-04-04,359.92108886869534
2018-04-05,350.5260608674939
2018-04-06,383.8781676004503
2018-04-07,386.0020427153653
2018-04-08,410.11689067118886
2018-04-09,372.52341713488806
2018-04-10,377.4389228279818
2018-04-11,351.51286817592336
2018-04-12,352.7107223435232
2018-04-13,370.19076836287223
2018-04-14,372.0758599769263
2018-04-15,406.19733251477055
2018-04-16,376.5314465909471
2018-04-17,364.8871696681879
2018-04-18,345.5146136364838
2018-04-19,382.6652248215413
2018-04-20,380.40140068884625
2018-04-21,378.1187031863521
2018-04-22,392.9262375628898
2018-04-23,352.6805341060727
2018-04-24,332.7884423422236
2018-04-25,327.0253284166511
2018-04-26,330.5134384973307
2018-04-27,359.3884772817815
2018-04-28,348.09006778340427
2018-04-29,380.15929733368966
2018-04-30,357.9895895249893
2018-05-01,324.11791141345606
2018-05-02,333.1623533179447
2018-05-03,330.10576557446205
2018-05-04,330.78405722734226
2018-05-05,337.44695643079973
2018-05-06,381.6470520047856
2018-05-07,372.8458617950331
2018-05-08,340.1370613689771
2018-05-09,339.6813546304161
2018-05-10,328.61955562961424
2018-05-11,348.300347310217
2018-05-12,343.16855945746676
2018-05-13,391.5029315361238
2018-05-14,357.2403364975924
2018-05-15,338.74927348973023
2018-05-16,341.41332200605297
2018-05-17,334.05692337586106
2018-05-18,341.67168939056506
2018-05-19,356.0263120820638
2018-05-20,397.6370467268815
2018-05-21,346.9368217336929
2018-05-22,351.598540792611
2018-05-23,331.13962517384925
2018-05-24,340.61981822762095
2018-05-25,347.25744612036954
2018-05-26,348.59848492013776
2018-05-27,383.4587409543049
2018-05-28,353.8864080024168
2018-05-29,331.87818491366744
2018-05-30,333.27011469257053
2018-05-31,329.40750469252464
2018-06-01,356.5791750525569
2018-06-02,356.20615963328834
2018-06-03,403.9301308438925
2018-06-04,369.97368974979224
2018-06-05,360.66443275361644
2018-06-06,356.3812913656678
2018-06-07,338.0373176674446
2018-06-08,368.64045431158047
2018-06-09,378.57542099012596
2018-06-10,426.043681099639
2018-06-11,387.2349018008724
2018-06-12,352.4079126273936
2018-06-13,337.50649218630883
2018-06-14,340.2359423184725
2018-06-15,370.77324309158445
2018-06-16,368.6695640099547
2018-06-17,403.61728261385764
2018-06-18,380.18029176886586
2018-06-19,346.95666381598534
2018-06-20,339.1777456229869
2018-06-21,352.57044136840614
2018-06-22,367.0430188475134
2018-06-23,365.80050047950243
2018-06-24,414.76364225322936
2018-06-25,370.07708623317757
2018-06-26,339.43677229380125
2018-06-27,328.25226996949533
2018-06-28,320.66535487854344
2018-06-29,348.8944594091681
2018-06-30,368.4857060620242
2018-07-01,404.68766719063564
2018-07-02,373.5787060738503
2018-07-03,348.38227035447693
2018-07-04,342.82812980890674
2018-07-05,330.7766539691762
2018-07-06,337.2268055753322
2018-07-07,371.51053323336913
