Date,No
2018-01-01,229.36224365234378
2018-01-02,199.7524108886719
2018-01-03,198.4200134277344
2018-01-04,197.12025070190433
2018-01-05,203.8880195617676
2018-01-06,219.20327568054202
2018-01-07,252.0180644989014
2018-01-08,170.2506103515625
2018-01-09,156.1343994140625
2018-01-10,154.657958984375
2018-01-11,153.2535400390625
2018-01-12,160.0235595703125
2018-01-13,175.8682861328125
2018-01-14,208.92614746093753
2018-01-15,187.98590087890625
2018-01-16,174.2613067626953
2018-01-17,172.95591735839844
2018-01-18,171.58750915527344
2018-01-19,178.569091796875
2018-01-20,193.9456787109375
2018-01-21,226.80548095703128
2018-01-22,214.8994293212891
2018-01-23,201.16133117675784
2018-01-24,199.80642700195315
2018-01-25,198.18819427490237
2018-01-26,205.01448059082034
2018-01-27,220.57562255859378
2018-01-28,253.5164489746094
2018-01-29,183.99208450317383
2018-01-30,170.39802932739258
2018-01-31,169.09714126586914
2018-02-01,175.25272750854492
2018-02-02,182.11389923095703
2018-02-03,197.6198997497559
2018-02-04,230.4031791687012
2018-02-05,187.8958740234375
2018-02-06,174.1397705078125
2018-02-07,172.60931396484375
2018-02-08,171.222900390625
2018-02-09,178.37103271484375
2018-02-10,193.89166259765625
2018-02-11,226.85949707031253
2018-02-12,214.89084863662723
2018-02-13,199.2047944068909
2018-02-14,196.82892942428592
2018-02-15,276.60650873184204
2018-02-16,283.72158432006836
2018-02-17,279.5183148384094
2018-02-18,312.4910726547241
2018-02-19,491.9255676269531
2018-02-20,478.4170379638672
2018-02-21,412.36883544921875
2018-02-22,410.87889099121094
2018-02-23,417.9820098876953
2018-02-24,433.5161437988281
2018-02-25,466.5920104980469
2018-02-26,179.42322158813477
2018-02-27,165.9484519958496
2018-02-28,179.71693420410156
2018-03-01,163.63363647460938
2018-03-02,170.86054229736328
2018-03-03,186.31252670288086
2018-03-04,219.3726387023926
2018-03-05,201.5529479980469
2018-03-06,188.13894653320312
2018-03-07,186.71652221679688
2018-03-08,185.16806030273438
2018-03-09,192.38821411132812
2018-03-10,208.00787353515628
2018-03-11,240.96670532226565
2018-03-12,216.67408370971683
2018-03-13,203.112663269043
2018-03-14,201.58220672607425
2018-03-15,200.14402770996097
2018-03-16,207.27527999877933
2018-03-17,222.85892868041995
2018-03-18,255.876277923584
2018-03-19,172.62056732177734
2018-03-20,158.9905014038086
2018-03-21,157.65585327148438
2018-03-22,156.2311782836914
2018-03-23,163.4580841064453
2018-03-24,178.9787139892578
2018-03-25,211.96455383300784
2018-03-26,179.6494140625
2018-03-27,165.893310546875
2018-03-28,164.6329345703125
2018-03-29,163.012451171875
2018-03-30,170.34063720703125
2018-03-31,185.84326171875
2018-04-01,213.10339355468753
2018-04-02,212.47320556640628
2018-04-03,198.89715576171878
2018-04-04,213.31045532226565
2018-04-05,211.8160095214844
2018-04-06,218.99114990234378
2018-04-07,219.27923583984378
2018-04-08,251.94097900390628
2018-04-09,179.70680618286133
