Date,No
2018/1/1,263.123291
2018/1/2,215.0946121
2018/1/3,211.7746124
2018/1/4,211.870491
2018/1/5,216.4336624
2018/1/6,243.5445557
2018/1/7,295.9348984
2018/1/8,157.9363403
2018/1/9,143.6618042
2018/1/10,140.2686768
2018/1/11,140.3986816
2018/1/12,144.8578491
2018/1/13,171.931366
2018/1/14,224.1868286
2018/1/15,177.4760742
2018/1/16,161.8234863
2018/1/17,159.951416
2018/1/18,160.6794434
2018/1/19,165.3076172
2018/1/20,192.5566406
2018/1/21,243.206543
2018/1/22,177.0795593
2018/1/23,162.6360168
2018/1/24,159.2233887
2018/1/25,159.3533936
2018/1/26,164.131073
2018/1/27,191.2500916
2018/1/28,243.4633026
2018/1/29,176.0915222
2018/1/30,161.7389832
2018/1/31,158.3393555
2018/2/1,159.658905
2018/2/2,164.5275879
2018/2/3,191.7181091
2018/2/4,243.7460632
2018/2/5,162.1744995
2018/2/6,147.9649658
2018/2/7,144.5523376
2018/2/8,144.8643494
2018/2/9,149.7655334
2018/2/10,176.9820557
2018/2/11,229.0100098
2018/2/12,156.5777893
2018/2/13,141.95224
2018/2/14,138.2601013
2018/2/15,209.6197815
2018/2/16,214.7289734
2018/2/17,208.2547302
2018/2/18,260.3346863
2018/2/19,366.828186
2018/2/20,352.8266602
2018/2/21,277.9568481
2018/2/22,278.138855
2018/2/23,283.4430542
2018/2/24,310.7960815
2018/2/25,362.0180054
2018/2/26,177.3769455
2018/2/27,162.9415283
2018/2/28,192.3843842
2018/3/1,144.4743347
2018/3/2,149.40802
2018/3/3,176.5839157
2018/3/4,228.0951004
2018/3/5,209.5612793
2018/3/6,194.9747314
2018/3/7,190.4765625
2018/3/8,191.3085938
2018/3/9,195.9497681
2018/3/10,223.6928101
2018/3/11,275.8377686
2018/3/12,166.874176
2018/3/13,152.8141479
2018/3/14,149.3105164
2018/3/15,149.6680298
2018/3/16,154.4197083
2018/3/17,181.5582275
2018/3/18,232.5981445
2018/3/19,216.77005
2018/3/20,202.1965027
2018/3/21,198.3483582
2018/3/22,198.3938599
2018/3/23,203.3210449
2018/3/24,230.7390747
2018/3/25,282.5135193
2018/3/26,203.829689
2018/3/27,189.4690247
2018/3/28,185.7703857
2018/3/29,185.8386383
2018/3/30,190.7219467
2018/3/31,218.0294724
2018/4/1,271.3802261
2018/4/2,164.5535889
2018/4/3,149.5250244
2018/4/4,179.387146
2018/4/5,179.5951538
2018/4/6,184.3013306
2018/4/7,179.1921387
2018/4/8,230.9080811
2018/4/9,187.0249329
2018/4/10,172.8804016
2018/4/11,169.2922668
2018/4/12,169.5522766
2018/4/13,174.2389526
2018/4/14,201.5334778
2018/4/15,252.6708984
2018/4/16,131.116333
2018/4/17,116.6077881
2018/4/18,113.2016602
2018/4/19,113.2536621
2018/4/20,118.1418457
2018/4/21,145.494873
2018/4/22,196.4047852
2018/4/23,141.7832336
2018/4/24,128.0628433
2018/4/25,124.4048309
2018/4/26,126.0900192
2018/4/27,129.8032837
2018/4/28,155.7473831
2018/4/29,207.4714508
2018/4/30,148.2249756
2018/5/1,147.0809326
2018/5/2,141.5687256
2018/5/3,144.1168213
2018/5/4,148.2249756
2018/5/5,174.0179443
2018/5/6,225.6558838
2018/5/7,171.5088501
2018/5/8,157.4163208
2018/5/9,153.639679
2018/5/10,153.8671875
2018/5/11,158.7228699
2018/5/12,186.0888977
2018/5/13,236.550293
2018/5/14,162.1744995
2018/5/15,147.8674622
2018/5/16,143.4992981
2018/5/17,144.3313293
2018/5/18,149.1285095
2018/5/19,176.3190308
2018/5/20,226.5594177
2018/5/21,184.366333
2018/5/22,170.8263245
2018/5/23,167.1991882
2018/5/24,167.3681946
2018/5/25,172.0743713
2018/5/26,198.3873596
2018/5/27,248.3482361
2018/5/28,156.8459244
2018/5/29,142.7582703
2018/5/30,138.8207474
2018/5/31,139.0255051
2018/6/1,149.300766
2018/6/2,176.6147919
2018/6/3,226.7999268
2018/6/4,201.7869873
2018/6/5,188.0714722
2018/6/6,184.0023193
2018/6/7,184.1843262
2018/6/8,188.9425049
2018/6/9,216.1135254
2018/6/10,266.6074219
2018/6/11,184.3273315
2018/6/12,170.0527954
2018/6/13,166.8286743
2018/6/14,166.7766724
2018/6/15,170.8328247
2018/6/16,199.1608887
2018/6/17,248.5367432
2018/6/18,246.8938065
2018/6/19,200.1473007
2018/6/20,196.0050201
2018/6/21,196.2065277
2018/6/22,201.0719604
2018/6/23,228.4948654
2018/6/24,278.5548706
2018/6/25,191.9846191
2018/6/26,178.2041016
2018/6/27,174.0439453
2018/6/28,174.1219482
2018/6/29,178.802124
2018/6/30,206.3891602
2018/7/1,257.9750977
2018/7/2,203.9499435
2018/7/3,190.1905518
2018/7/4,186.0141449
2018/7/5,186.2530289
2018/7/6,190.9982071
2018/7/7,218.6177444
2018/7/8,268.6224976
2018/7/9,193.0246582
2018/7/10,179.2961426
2018/7/11,175.0319824
2018/7/12,175.2399902
2018/7/13,179.972168
2018/7/14,207.689209
2018/7/15,257.6630859
2018/7/16,166.022644
2018/7/17,152.0211182
2018/7/18,148.289978
2018/7/19,148.4849854
2018/7/20,153.3601685
2018/7/21,180.7651978
2018/7/22,230.5180664
2018/7/23,167.2836914
2018/7/24,153.4511719
2018/7/25,149.3430176
2018/7/26,149.5510254
2018/7/27,154.1791992
2018/7/28,181.8962402
2018/7/29,231.5061035
2018/7/30,204.5170898
2018/7/31,190.7885742
2018/8/1,198.770874
2018/8/2,199.1608887
2018/8/3,203.8410645
2018/8/4,231.2720947
2018/8/5,280.855957
2018/8/6,176.5400391
2018/8/7,162.8115234
2018/8/8,158.4953613
2018/8/9,159.3273926
2018/8/10,164.1635742
2018/8/11,191.3605957
2018/8/12,240.6584473
2018/8/13,166.0356445
2018/8/14,152.3071289
2018/8/15,148.1729736
2018/8/16,149.4210205
2018/8/17,154.1531982
2018/8/18,181.2722168
2018/8/19,230.6220703
2018/8/20,163.7345581
2018/8/21,150.6040649
2018/8/22,147.6269531
2018/8/23,148.1989746
2018/8/24,150.8900757
2018/8/25,177.7230835
2018/8/26,227.4109497
2018/8/27,188.0584717
2018/8/28,175.0059814
2018/8/29,170.4818115
2018/8/30,171.8078613
2018/8/31,173.9659424
2018/9/1,195.0007324
2018/9/2,244.5585938
2018/9/3,169.0517578
2018/9/4,157.4033203
2018/9/5,151.4230957
2018/9/6,155.1152344
2018/9/7,158.5473633
2018/9/8,184.2883301
2018/9/9,232.5981445
2018/9/10,147.5229492
2018/9/11,134.1584473
2018/9/12,129.5302734
2018/9/13,130.5703125
2018/9/14,135.0944824
2018/9/15,162.239502
2018/9/16,210.2893066
2018/9/17,192.6086426
2018/9/18,180.7001953
2018/9/19,176.4880371
2018/9/20,178.3081055
2018/9/21,180.8302002
2018/9/22,206.2331543
2018/9/23,256.5450439
2018/9/24,247.1586914
2018/9/25,200.1489258
2018/9/26,195.3647461
2018/9/27,198.5888672
2018/9/28,201.2929688
2018/9/29,227.7099609
2018/9/30,276.5397949
2018/10/1,166.5296631
2018/10/2,152.2811279
2018/10/3,148.2769775
2018/10/4,148.7709961
2018/10/5,153.4251709
2018/10/6,179.7381592
2018/10/7,229.7120361
2018/10/8,174.8759766
2018/10/9,161.2514648
2018/10/10,189.3325195
2018/10/11,157.1953125
2018/10/12,161.6674805
2018/10/13,188.2924805
2018/10/14,237.590332
2018/10/15,153.2171631
2018/10/16,140.034668
2018/10/17,136.3425293
2018/10/18,137.2525635
2018/10/19,142.192749
2018/10/20,169.2597656
2018/10/21,215.385498
2018/10/22,154.439209
2018/10/23,140.9739532
2018/10/24,136.547287
2018/10/25,137.3240662
2018/10/26,141.6694794
2018/10/27,168.6877441
2018/10/28,216.555542
2018/10/29,154.7544708
2018/10/30,141.1429596
2018/10/31,136.6122894
2018/11/1,114.7519684
2018/11/2,119.0616302
2018/11/3,146.3171539
2018/11/4,194.269455
2018/11/5,140.515686
2018/11/6,127.1641846
2018/11/7,122.9260254
2018/11/8,123.6410522
2018/11/9,127.7362061
2018/11/10,155.1022339
2018/11/11,202.5930176
2018/11/12,175.3569946
2018/11/13,160.6404419
2018/11/14,157.6893311
2018/11/15,158.2873535
2018/11/16,162.0964966
2018/11/17,189.7095337
2018/11/18,236.5892944
2018/11/19,147.6139526
2018/11/20,133.9504395
2018/11/21,129.5952759
2018/11/22,130.1347961
2018/11/23,134.2494507
2018/11/24,162.0509949
2018/11/25,209.6392822
2018/11/26,190.1905518
2018/11/27,176.8650513
2018/11/28,172.4708862
2018/11/29,173.0819092
2018/11/30,176.5790405
2018/12/1,191.8286133
2018/12/2,239.2543945
2018/12/3,175.2789917
2018/12/4,161.6934814
2018/12/5,157.7803345
2018/12/6,158.6123657
2018/12/7,163.2665405
2018/12/8,190.8535767
2018/12/9,236.6802979
2018/12/10,124.2488251
2018/12/11,110.5463104
2018/12/12,106.0253906
2018/12/13,106.5031586
2018/12/14,110.7055664
2018/12/15,138.1040955
2018/12/16,185.4746246
2018/12/17,164.5275879
2018/12/18,150.7186317
2018/12/19,146.1481476
2018/12/20,146.8631744
2018/12/21,151.1915245
2018/12/22,146.3537178
2018/12/23,225.7265739
2018/12/24,133.8825932
2018/12/25,120.1877975
2018/12/26,115.619751
2018/12/27,116.4412193
2018/12/28,120.7248802
2018/12/29,148.1591606
2018/12/30,195.0848293
2018/12/31,172.7520218
2019/1/1,201.7126408
2019/1/2,166.1904316
2019/1/3,166.8298931
2019/1/4,171.3268433
2019/1/5,198.6867771
2019/1/6,245.5307865
2019/1/7,141.9684906
2019/1/8,128.2854767
2019/1/9,123.6410522
2019/1/10,124.3755798
2019/1/11,128.6169891
2019/1/12,156.2690277
2019/1/13,202.7847748
2019/1/14,178.3861084
2019/1/15,165.3336182
2019/1/16,160.6534424
2019/1/17,161.8494873
2019/1/18,165.5936279
2019/1/19,162.3175049
2019/1/20,239.6704102
2019/1/21,185.1203613
2019/1/22,171.3398438
2019/1/23,166.607666
2019/1/24,167.1796875
2019/1/25,171.7818604
2019/1/26,199.1088867
2019/1/27,245.5726318
2019/1/28,188.0324707
2019/1/29,174.407959
2019/1/30,169.6237793
2019/1/31,170.2998047
2019/2/1,178.7241211
2019/2/2,245.5986328
2019/2/3,291.8283691
2019/2/4,319.5649109
2019/2/5,305.9664001
2019/2/6,301.6307373
2019/2/7,302.4432678
2019/2/8,307.3054504
2019/2/9,305.0368652
2019/2/10,351.2406006
2019/2/11,195.4232483
2019/2/12,181.9807434
2019/2/13,177.469574
2019/2/14,178.243103
2019/2/15,182.663269
2019/2/16,209.9382935
2019/2/17,256.0900269
2019/2/18,143.1027832
2019/2/19,129.1402588
2019/2/20,124.7460938
2019/2/21,125.0581055
2019/2/22,129.9462891
2019/2/23,157.5593262
2019/2/24,203.6330566
2019/2/25,141.1722107
2019/2/26,127.8597107
2019/2/27,123.3046646
2019/2/28,124.2033234
2019/3/1,112.3030014
2019/3/2,139.716156
2019/3/3,185.8500137
2019/3/4,173.237915
2019/3/5,159.6134033
2019/3/6,154.8422241
2019/3/7,155.4142456
2019/3/8,160.1074219
2019/3/9,187.8114624
2019/3/10,233.6641846
2019/3/11,163.1755371
2019/3/12,149.7070313
2019/3/13,144.9293518
2019/3/14,145.8588867
2019/3/15,150.1230469
2019/3/16,177.7230835
2019/3/17,223.6798096
2019/3/18,173.6409302
2019/3/19,160.2894287
2019/3/20,155.7132568
2019/3/21,156.4932861
2019/3/22,160.5234375
2019/3/23,188.1624756
2019/3/24,233.6641846
2019/3/25,178.1260986
2019/3/26,165.1516113
2019/3/27,159.951416
2019/3/28,161.12146
2019/3/29,165.6456299
2019/3/30,192.6606445
2019/3/31,238.708374
2019/4/1,145.9953918
2019/4/2,132.8486481
2019/4/3,128.1359711
2019/4/4,159.4378967
2019/4/5,163.8580627
2019/4/6,160.9264526
2019/4/7,206.4509125
2019/4/8,214.585968
2019/4/9,201.1304626
2019/4/10,194.5262146
2019/4/11,197.2823181
2019/4/12,201.5074768
2019/4/13,228.6264954
2019/4/14,274.7262268
2019/4/15,197.4513245
2019/4/16,184.0608215
2019/4/17,179.1596375
2019/4/18,180.1671753
2019/4/19,184.7173462
2019/4/20,212.0768738
2019/4/21,257.6045837
2019/4/22,207.3999481
2019/4/23,194.3344574
2019/4/24,189.7582855
2019/4/25,190.782074
2019/4/26,194.9552307
2019/4/27,222.1977539
2019/4/28,267.462204
2019/4/29,193.3301697
2019/4/30,180.186676
2019/5/1,192.7353973
2019/5/2,194.0126953
2019/5/3,198.3061066
2019/5/4,225.4673767
2019/5/5,270.8585815
2019/5/6,158.9373779
2019/5/7,145.3518677
2019/5/8,140.3856812
2019/5/9,141.5622253
2019/5/10,146.2619019
2019/5/11,173.1534119
2019/5/12,218.6486206
2019/5/13,183.3912964
2019/5/14,169.7667847
2019/5/15,164.3780823
2019/5/16,165.7041321
2019/5/17,170.494812
2019/5/18,197.4968262
2019/5/19,242.59552
2019/5/20,174.7914734
2019/5/21,161.4139709
2019/5/22,156.6086655
2019/5/23,157.9477158
2019/5/24,162.3646317
2019/5/25,189.4982758
2019/5/26,234.6213455
2019/5/27,176.7090454
2019/5/28,163.6110535
2019/5/29,158.7683716
2019/5/30,160.003418
2019/5/31,164.4950867
2019/6/1,196.6192932
2019/6/2,241.5749817
2019/6/3,164.8721008
2019/6/4,151.6928558
2019/6/5,146.8956757
2019/6/6,148.2119751
2019/6/7,182.2862549
2019/6/8,179.6504059
2019/6/9,224.5020905
2019/6/10,208.5001144
2019/6/11,195.3180256
2019/6/12,190.3928719
2019/6/13,192.0244331
2019/6/14,196.6469193
2019/6/15,223.6111507
2019/6/16,268.2227325
2019/6/17,197.2010651
2019/6/18,184.099823
2019/6/19,179.3383942
2019/6/20,180.6741943
2019/6/21,184.9643555
2019/6/22,211.9631195
2019/6/23,256.6457977
2019/6/24,181.4542236
2019/6/25,168.0897217
2019/6/26,163.7605591
2019/6/27,165.0996094
2019/6/28,168.7787476
2019/6/29,196.1707764
2019/6/30,240.6584473
2019/7/1,217.9725952
2019/7/2,204.9721069
2019/7/3,199.5379028
2019/7/4,201.006958
2019/7/5,206.0641479
2019/7/6,232.9751587
2019/7/7,277.527832
2019/7/8,209.3110199
2019/7/9,196.3267822
2019/7/10,191.2403412
2019/7/11,192.7288971
2019/7/12,197.4253235
2019/7/13,224.5183411
2019/7/14,269.0547638
2019/7/15,187.3109436
2019/7/16,174.2909546
2019/7/17,169.136261
2019/7/18,170.413559
2019/7/19,175.0644836
2019/7/20,201.9332428
2019/7/21,246.5476685
2019/7/22,195.3972473
2019/7/23,182.3837585
2019/7/24,177.3330688
2019/7/25,178.7501221
2019/7/26,183.3587952
2019/7/27,210.0747986
2019/7/28,254.4454651
2019/7/29,161.9664917
2019/7/30,148.5369873
2019/7/31,144.2208252
2019/8/1,153.4771729
2019/8/2,157.1693115
2019/8/3,184.1063232
2019/8/4,228.6199951
2019/8/5,173.9529419
2019/8/6,160.6274414
2019/8/7,156.3112793
2019/8/8,157.8193359
2019/8/9,160.9654541
2019/8/10,188.3964844
2019/8/11,232.7151489
2019/8/12,211.0823364
2019/8/13,198.2248535
2019/8/14,193.3951721
2019/8/15,194.66922
2019/8/16,199.5704041
2019/8/17,225.8573914
2019/8/18,269.7860413
2019/8/19,181.3502197
2019/8/20,168.0897217
2019/8/21,162.9155273
2019/8/22,164.1895752
2019/8/23,169.1817627
2019/8/24,195.9107666
2019/8/25,239.7224121
2019/8/26,191.074585
2019/8/27,177.8595886
2019/8/28,172.7828979
2019/8/29,174.3039551
2019/8/30,179.2896423
2019/8/31,205.5896301
2019/9/1,245.9821472
2019/9/2,188.5394897
2019/9/3,174.2519531
2019/9/4,170.3128052
2019/9/5,171.0018311
2019/9/6,176.2800293
2019/9/7,202.9180298
2019/9/8,246.7556763
2019/9/9,180.6351929
2019/9/10,167.2576904
2019/9/11,162.8375244
2019/9/12,165.4376221
2019/9/13,198.6018677
2019/9/14,195.5077515
2019/9/15,239.8914185
2019/9/16,221.0797119
2019/9/17,207.8387146
2019/9/18,202.9960327
2019/9/19,204.6860962
2019/9/20,209.9382935
2019/9/21,236.1212769
2019/9/22,279.9329224
2019/9/23,195.8067627
2019/9/24,182.4422607
2019/9/25,177.6060791
2019/9/26,179.4781494
2019/9/27,184.0413208
2019/9/28,210.3673096
2019/9/29,253.8149414
2019/9/30,190.2214279
2019/10/1,171.2862167
2019/10/2,166.4792862
2019/10/3,168.0019684
2019/10/4,173.2671661
2019/10/5,199.5362778
2019/10/6,243.3202972
2019/10/7,239.4884033
2019/10/8,226.3189087
2019/10/9,221.6712341
2019/10/10,253.405426
2019/10/11,258.2091064
2019/10/12,254.2244568
2019/10/13,298.0166016
2019/10/14,191.4971008
2019/10/15,177.9440918
2019/10/16,172.4968872
2019/10/17,174.5444641
2019/10/18,179.5041504
2019/10/19,205.7976379
2019/10/20,249.9927979
2019/10/21,175.2919922
2019/10/22,161.9014893
2019/10/23,155.8432617
2019/10/24,158.0013428
2019/10/25,162.9155273
2019/10/26,189.2805176
2019/10/27,233.7941895
2019/10/28,168.5577393
2019/10/29,155.0859833
2019/10/30,150.178299
2019/10/31,151.7188568
2019/11/1,141.5979767
2019/11/2,168.0149689
2019/11/3,211.3780975
2019/11/4,181.5939789
2019/11/5,168.1839752
2019/11/6,163.1852875
2019/11/7,164.5893402
2019/11/8,169.7310333
2019/11/9,196.2715302
2019/11/10,239.7581635
2019/11/11,164.5974655
2019/11/12,151.3093414
2019/11/13,146.4894104
2019/11/14,147.9763412
2019/11/15,153.1489105
2019/11/16,179.6065292
2019/11/17,222.8234024
2019/11/18,188.7734985
2019/11/19,175.3959961
2019/11/20,168.1937256
2019/11/21,170.8848267
2019/11/22,175.0969849
2019/11/23,201.1109619
2019/11/24,246.8596802
2019/11/25,143.6878052
2019/11/26,130.3883057
2019/11/27,125.1426086
2019/11/28,126.8716736
2019/11/29,131.9028625
2019/11/30,158.5148621
2019/12/1,185.5688782
2019/12/2,200.8834534
2019/12/3,187.694458
2019/12/4,184.7628479
2019/12/5,185.2243652
2019/12/6,191.2370911
2019/12/7,218.3366089
2019/12/8,258.9306335
2019/12/9,184.899353
2019/12/10,171.2618408
2019/12/11,166.0616455
2019/12/12,167.8817139
2019/12/13,172.3928833
2019/12/14,198.6148682
2019/12/15,242.4915161
2019/12/16,187.668457
2019/12/17,174.4599609
2019/12/18,167.8037109
2019/12/19,170.4038086
2019/12/20,174.5639648
2019/12/21,201.2409668
2019/12/22,245.7546387
2019/12/23,198.8066254
2019/12/24,185.7151337
2019/12/25,180.531189
2019/12/26,182.2375031
2019/12/27,187.1906891
2019/12/28,213.5491791
2019/12/29,256.7205505
2019/12/30,174.0439453
2019/12/31,160.8874512
2020/1/1,225.9678955
2020/1/2,198.770874
2020/1/3,203.1130371
2020/1/4,229.7900391
2020/1/5,273.5236816
2020/1/6,184.0543213
2020/1/7,170.8978271
2020/1/8,165.8016357
2020/1/9,167.5242004
2020/1/10,172.4253845
2020/1/11,198.8163757
2020/1/12,241.7732391
2020/1/13,195.442749
2020/1/14,183.6643066
2020/1/15,177.1120605
2020/1/16,181.3372192
2020/1/17,185.3933716
2020/1/18,211.2643433
2020/1/19,252.8139038
2020/1/20,153.7371826
2020/1/21,140.515686
2020/1/22,135.1984863
2020/1/23,206.6621704
2020/1/24,210.1983032
2020/1/25,207.130188
2020/1/26,248.6797485
2020/1/27,420.4487
2020/1/28,407.5977173
2020/1/29,402.3390198
2020/1/30,337.1285706
2020/1/31,341.8022461
2020/2/1,372.9449158
2020/2/2,415.9310303
2020/2/3,200.4097481
2020/2/4,187.2280655
2020/2/5,181.9839935
2020/2/6,183.246666
2020/2/7,188.1844139
2020/2/8,214.7630997
2020/2/9,257.7670898
2020/2/10,142.3747559
2020/2/11,126.8781738
2020/2/12,122.302002
2020/2/13,125.7861328
2020/2/14,131.5063477
2020/2/15,131.7663574
2020/2/16,200.9289551
2020/2/17,123.7483063
2020/2/18,110.4650574
2020/2/19,105.1413574
2020/2/20,106.6396637
2020/2/21,111.7748566
2020/2/22,138.2893524
2020/2/23,181.0089569
2020/2/24,106.9906769
2020/2/25,93.80899429
2020/2/26,88.49016953
2020/2/27,89.99578857
2020/2/28,121.9859276
2020/2/29,121.4715958
2020/3/1,143.0808449
2020/3/2,121.1522713
2020/3/3,107.8803978
2020/3/4,102.667202
2020/3/5,104.2865753
2020/3/6,109.4810829
2020/3/7,135.7916336
2020/3/8,178.0326576
2020/3/9,101.0072021
2020/3/10,87.38269043
2020/3/11,82.39050293
2020/3/12,84.1975708
2020/3/13,89.55377197
2020/3/14,115.619751
2020/3/15,158.0013428
2020/3/16,78.29738045
2020/3/17,65.66435909
2020/3/18,60.69370365
2020/3/19,62.26249695
2020/3/20,67.30384254
2020/3/21,93.54431248
2020/3/22,135.7828989
2020/3/23,91.46484375
2020/3/24,78.28234863
2020/3/25,72.90014648
2020/3/26,74.69421387
2020/3/27,79.66040039
2020/3/28,105.8693848
2020/3/29,147.8349609
2020/3/30,80.80931854
