Date,No
2018-01-01,478.2072448730469
2018-01-02,433.929443359375
2018-01-03,428.0997009277344
2018-01-04,423.23822021484375
2018-01-05,435.0389099121094
2018-01-06,457.8737487792969
2018-01-07,505.7623596191406
2018-01-08,463.98590087890625
2018-01-09,435.6239013671875
2018-01-10,429.7941589355469
2018-01-11,424.93267822265625
2018-01-12,436.7535400390625
2018-01-13,459.5682067871094
2018-01-14,507.4366455078125
2018-01-15,417.1664123535156
2018-01-16,388.56581449508667
2018-01-17,382.17755651474
2018-01-18,377.06392431259155
2018-01-19,388.9100012779236
2018-01-20,411.41200017929077
2018-01-21,460.32434606552124
2018-01-22,418.3965964317322
2018-01-23,389.84800481796265
2018-01-24,383.4534430503845
2018-01-25,378.3398108482361
2018-01-26,390.19093084335327
2018-01-27,412.69292974472046
2018-01-28,461.6052756309509
2018-01-29,467.22352600097656
2018-01-30,438.7909240722656
2018-01-31,432.47705078125
2018-02-01,389.2078552246094
2018-02-02,401.28086853027344
2018-02-03,423.99971771240234
2018-02-04,472.72547149658203
2018-02-05,430.94901275634766
2018-02-06,402.5164108276367
2018-02-07,396.2025375366211
2018-02-08,391.2553253173828
2018-02-09,403.3283386230469
2018-02-10,426.05223083496094
2018-02-11,474.7779846191406
2018-02-12,422.4262924194336
2018-02-13,394.2735786437988
2018-02-14,387.95214080810547
2018-02-15,447.59353256225586
2018-02-16,459.5505561828613
2018-02-17,465.79382705688477
2018-02-18,514.0606651306152
2018-02-19,489.06740951538086
2018-02-20,460.9146957397461
2018-02-21,389.80041122436523
2018-02-22,384.64391326904297
2018-02-23,396.603458404541
2018-02-24,419.4282112121582
2018-02-25,467.6950492858887
2018-02-26,469.432373046875
2018-02-27,441.0502014160156
2018-02-28,450.43023681640625
2018-03-01,420.0711975097656
2018-03-02,432.19464111328125
2018-03-03,455.2110290527344
2018-03-04,502.83740234375
2018-03-05,461.2626647949219
2018-03-06,432.8804931640625
2018-03-07,426.7683410644531
2018-03-08,421.987548828125
2018-03-09,434.13116455078125
2018-03-10,457.12738037109375
2018-03-11,504.7537536621094
2018-03-12,462.5738525390625
2018-03-13,434.0807342529297
2018-03-14,427.474365234375
2018-03-15,422.0682373046875
2018-03-16,434.41357421875
2018-03-17,457.47534942626953
2018-03-18,506.0397262573242
2018-03-19,464.6112365722656
2018-03-20,436.1181182861328
2018-03-21,429.5117492675781
2018-03-22,424.1056213378906
2018-03-23,436.4509582519531
2018-03-24,459.51273345947266
2018-03-25,508.07711029052734
2018-03-26,453.4560546875
2018-03-27,425.215087890625
2018-03-28,418.6793212890625
2018-03-29,413.1925048828125
2018-03-30,426.7481689453125
2018-03-31,449.1795654296875
2018-04-01,485.6507568359375
2018-04-02,444.1768798828125
2018-04-03,415.855224609375
2018-04-04,424.08544921875
2018-04-05,418.5986328125
2018-04-06,432.154296875
2018-04-07,439.900390625
2018-04-08,487.66796875
2018-04-09,452.6037826538086
