Date,No
2018-01-01,170.1539820232377
2018-01-02,165.19941433488987
2018-01-03,156.85845011376261
2018-01-04,173.94065248549407
2018-01-05,167.041586630657
2018-01-06,191.23197065845247
2018-01-07,209.23223639620025
2018-01-08,202.5192963126292
2018-01-09,162.51115984913545
2018-01-10,183.75884749823052
2018-01-11,187.8154347304489
2018-01-12,185.44786317958565
2018-01-13,207.25554300305802
2018-01-14,228.1546149651615
2018-01-15,197.36782002216813
2018-01-16,185.80617208924565
2018-01-17,188.8404927159312
2018-01-18,199.48264344292244
2018-01-19,192.95518269061935
2018-01-20,209.46119960926433
2018-01-21,241.88503088025695
2018-01-22,203.86986481806875
2018-01-23,187.3976422850853
2018-01-24,213.10556953662035
2018-01-25,207.03892563521094
2018-01-26,230.11637736218114
2018-01-27,249.98401735789565
2018-01-28,289.72221673763573
2018-01-29,204.64921741220638
2018-01-30,188.9641985067632
2018-01-31,203.04746069477662
2018-02-01,218.04712158082728
2018-02-02,258.92856517903135
2018-02-03,249.95860202547502
2018-02-04,306.5291419253212
2018-02-05,187.39551294979958
2018-02-06,195.26073307284807
2018-02-07,206.63132578652537
2018-02-08,212.90654664110886
2018-02-09,231.7580903374938
2018-02-10,269.85571113524605
2018-02-11,262.10466724998423
2018-02-12,201.90043854481942
2018-02-13,182.81212373216553
2018-02-14,230.24478522627112
2018-02-15,232.3553317030779
2018-02-16,274.3497728834527
2018-02-17,291.0420026163097
2018-02-18,332.6542754625959
2018-02-19,373.7196567508935
2018-02-20,285.79669849375335
2018-02-21,257.4602884201707
2018-02-22,242.41928078020342
2018-02-23,217.93946894517197
2018-02-24,232.0907917857501
2018-02-25,229.93286325720433
2018-02-26,242.497260850783
2018-02-27,194.73451688251794
2018-02-28,186.89527387878482
2018-03-01,182.6618729070544
2018-03-02,198.16435949937042
2018-03-03,212.95348400656977
2018-03-04,228.19427788289804
2018-03-05,213.1481784734114
2018-03-06,214.00815756723023
2018-03-07,200.34925673276547
2018-03-08,211.66352380761265
2018-03-09,219.70545869688812
2018-03-10,214.9712102820002
2018-03-11,195.5369657063819
2018-03-12,235.49046706654937
2018-03-13,237.38852170641616
2018-03-14,245.30943793006753
2018-03-15,206.51682004079774
2018-03-16,250.48789634096954
2018-03-17,268.9215977295571
2018-03-18,265.19226307410133
2018-03-19,192.85728653320717
2018-03-20,206.09474511100535
2018-03-21,199.3395816226887
2018-03-22,169.00517627245486
2018-03-23,153.0048111874918
2018-03-24,182.00230176833045
2018-03-25,257.77291514389174
2018-03-26,190.21888561266147
2018-03-27,198.95582410774168
2018-03-28,191.3881866374773
2018-03-29,192.24729063899258
2018-03-30,195.54765860028377
2018-03-31,225.9980927299069
2018-04-01,251.9705735049282
2018-04-02,194.41286100715254
2018-04-03,183.20231653559503
2018-04-04,162.01352375762932
2018-04-05,182.94957354719452
2018-04-06,198.98106340846735
2018-04-07,216.1924302888579
2018-04-08,241.50625882702488
2018-04-09,187.8326432110048
2018-04-10,173.44645368462534
2018-04-11,171.21073216814662
2018-04-12,166.66404627636533
2018-04-13,189.6923865742425
2018-04-14,177.34421377604195
2018-04-15,217.14205445832474
2018-04-16,169.9638666859176
2018-04-17,154.12644590955836
2018-04-18,179.27038250946177
2018-04-19,185.40338027144196
2018-04-20,171.97751752824618
2018-04-21,180.08744474661154
2018-04-22,204.90625363903553
2018-04-23,195.56890188977772
2018-04-24,187.029402862544
2018-04-25,212.5153605949968
2018-04-26,183.58680850008867
2018-04-27,186.29200109363083
2018-04-28,194.2975873090987
2018-04-29,229.44258217707292
2018-04-30,187.66028153049754
2018-05-01,162.51376355401862
2018-05-02,194.77615131538627
2018-05-03,190.20965388459385
2018-05-04,183.29910673781157
2018-05-05,200.3037009569399
2018-05-06,229.28378974667646
2018-05-07,196.52073800258034
2018-05-08,177.21728688070692
2018-05-09,177.0475120613252
2018-05-10,170.21088764893403
2018-05-11,186.3451028772036
2018-05-12,196.55120026328885
2018-05-13,207.99990730619072
2018-05-14,183.98292396880592
2018-05-15,178.28311390369976
2018-05-16,173.34825882875774
2018-05-17,171.9770633605438
2018-05-18,183.8240202649811
2018-05-19,184.31049224561806
2018-05-20,234.8658592423588
2018-05-21,183.1075784662968
2018-05-22,180.30315398625584
2018-05-23,162.03178067113518
2018-05-24,197.2390644574284
2018-05-25,154.46641540078562
2018-05-26,187.40529477762146
2018-05-27,237.39475103635732
2018-05-28,195.06779173485688
2018-05-29,164.2057649623429
2018-05-30,175.7583010923724
2018-05-31,169.27028937069963
2018-06-01,181.61407068487603
2018-06-02,195.3539113248593
2018-06-03,231.97619154412655
2018-06-04,212.8583373249698
2018-06-05,191.95508516268114
2018-06-06,176.46207191385696
2018-06-07,165.99732010959298
2018-06-08,181.75090060889409
2018-06-09,190.01686759564092
2018-06-10,208.8684007612324
2018-06-11,204.42286771902886
2018-06-12,168.7172614531598
2018-06-13,188.30873182618237
2018-06-14,163.0513118326779
2018-06-15,202.45626345654986
2018-06-16,212.359264265954
2018-06-17,256.307756069428
2018-06-18,194.0506802742363
2018-06-19,190.55890610861016
2018-06-20,180.512236121791
2018-06-21,188.4455319246005
2018-06-22,186.43445943140497
2018-06-23,203.49322473624738
2018-06-24,224.9121982561517
2018-06-25,191.94683603228478
2018-06-26,176.48114764074052
2018-06-27,172.10563208333562
2018-06-28,167.8740802572017
2018-06-29,172.58294241627337
2018-06-30,195.52483732227142
2018-07-01,228.9704407580924
2018-07-02,204.92192903250438
2018-07-03,185.54426202034773
2018-07-04,184.84289356024362
2018-07-05,175.16277985361762
2018-07-06,192.49835937576466
2018-07-07,209.36185557181545
2018-07-08,242.01581822779642
2018-07-09,181.13608183934699
2018-07-10,178.00169322638797
2018-07-11,171.79243908712513
2018-07-12,175.797638789456
2018-07-13,189.40608888412595
2018-07-14,197.47018013638493
2018-07-15,233.98335677848567
2018-07-16,179.71891033481026
2018-07-17,171.5465413322052
2018-07-18,158.80970769219633
2018-07-19,167.53347072569483
2018-07-20,206.09786497009756
2018-07-21,212.51816832905192
2018-07-22,226.81630655220405
2018-07-23,182.3000448420566
2018-07-24,187.1116191115255
2018-07-25,187.94393643862128
2018-07-26,164.2498733105493
2018-07-27,173.89364982874346
2018-07-28,219.61107505974337
2018-07-29,215.45826672700213
2018-07-30,215.71467687672904
2018-07-31,195.4909834843391
2018-08-01,176.8947637946553
2018-08-02,184.09576984002123
2018-08-03,194.5197301413683
2018-08-04,204.53667300595183
2018-08-05,223.07495050257194
2018-08-06,184.49013992586413
2018-08-07,202.9779533751914
2018-08-08,176.1017769401172
2018-08-09,188.70866984961467
2018-08-10,160.64341623620106
2018-08-11,189.2290087722535
2018-08-12,238.41289819899427
2018-08-13,201.36851744203273
2018-08-14,195.79308195060267
2018-08-15,184.58286037987722
2018-08-16,191.8329160820471
2018-08-17,189.748847370681
2018-08-18,209.2718155102133
2018-08-19,240.7898597670096
2018-08-20,226.348421976905
2018-08-21,214.7540048361643
2018-08-22,192.38920968242556
2018-08-23,199.29234305456765
2018-08-24,165.13619639281265
2018-08-25,191.60436004207162
2018-08-26,231.12974151983548
2018-08-27,185.5961305489795
2018-08-28,170.58931785987187
2018-08-29,184.49097037637952
2018-08-30,171.72144187625145
2018-08-31,163.8399244697805
2018-09-01,207.94050498371448
2018-09-02,233.9823687549788
2018-09-03,191.11166332365002
2018-09-04,187.56313050240252
2018-09-05,185.11756470072183
2018-09-06,182.2726970962156
2018-09-07,179.10396980031072
2018-09-08,197.76591259084603
