number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_num_decoder_layers,params_num_encoder_layers,state
0,9.75850360161747,2024-10-03 23:04:09.751560,2024-10-03 23:04:23.287250,0 days 00:00:13.535690,0.12481491235394922,108,0.0071144760093434225,3,3,COMPLETE
1,30.633886575948512,2024-10-03 23:04:23.296804,2024-10-03 23:04:36.118147,0 days 00:00:12.821343,0.5664580622368364,56,1.493656855461762e-05,3,4,COMPLETE
2,8.121850693658054,2024-10-03 23:04:36.118147,2024-10-03 23:04:48.105083,0 days 00:00:11.986936,0.1454599737656805,24,0.008123245085588688,1,4,COMPLETE
3,13.436882129473494,2024-10-03 23:04:48.105083,2024-10-03 23:05:00.358455,0 days 00:00:12.253372,0.23298331215843354,63,8.17949947521167e-05,2,3,COMPLETE
4,15.21589249950155,2024-10-03 23:05:00.358455,2024-10-03 23:05:15.629056,0 days 00:00:15.270601,0.3648559873736288,165,2.621087878265438e-05,2,2,COMPLETE
5,11.941168532839157,2024-10-03 23:05:15.629056,2024-10-03 23:05:33.623072,0 days 00:00:17.994016,0.03716033017599818,206,3.972110727381908e-05,3,3,COMPLETE
6,13.039784006350889,2024-10-03 23:05:33.632577,2024-10-03 23:05:50.599371,0 days 00:00:16.966794,0.7725056264596475,163,3.247673570627447e-05,4,1,COMPLETE
7,10.258821912908035,2024-10-03 23:05:50.599371,2024-10-03 23:06:09.060900,0 days 00:00:18.461529,0.35212199499168106,211,8.200518402245828e-05,3,1,COMPLETE
8,11.1763127028649,2024-10-03 23:06:09.061899,2024-10-03 23:06:22.657848,0 days 00:00:13.595949,0.20702398528001353,48,0.0003058656666978527,4,1,COMPLETE
9,10.056111699866836,2024-10-03 23:06:22.657848,2024-10-03 23:06:40.507397,0 days 00:00:17.849549,0.14788356442042164,177,8.612579192594876e-05,3,3,COMPLETE
10,8.669586743962235,2024-10-03 23:06:40.507397,2024-10-03 23:06:54.082456,0 days 00:00:13.575059,0.5214932406225429,111,0.006282693165407425,1,4,COMPLETE
11,9.946720875787095,2024-10-03 23:06:54.092456,2024-10-03 23:07:07.330591,0 days 00:00:13.238135,0.5907244357800168,111,0.008980923293478766,1,4,COMPLETE
12,9.2730401105703,2024-10-03 23:07:07.330591,2024-10-03 23:07:19.424443,0 days 00:00:12.093852,0.5393420745396755,27,0.0021240029415411023,1,4,COMPLETE
13,8.720474272875093,2024-10-03 23:07:19.424443,2024-10-03 23:07:32.710894,0 days 00:00:13.286451,0.4416209920604154,98,0.001937684085838176,1,4,COMPLETE
14,9.030404214316755,2024-10-03 23:07:32.710894,2024-10-03 23:07:45.432812,0 days 00:00:12.721918,0.771001227094661,85,0.002357802341549103,2,2,COMPLETE
15,9.585889902896781,2024-10-03 23:07:45.432812,2024-10-03 23:08:03.678661,0 days 00:00:18.245849,0.0026310907091927627,248,0.0007065097546076958,1,4,COMPLETE
16,9.302259940833226,2024-10-03 23:08:03.684650,2024-10-03 23:08:16.299123,0 days 00:00:12.614473,0.675184081368956,21,0.004454104663046417,1,4,COMPLETE
17,9.504693010258435,2024-10-03 23:08:16.299123,2024-10-03 23:08:30.966328,0 days 00:00:14.667205,0.45099903222428234,129,0.0006973124487021809,2,2,COMPLETE
18,8.124064437050052,2024-10-03 23:08:30.966328,2024-10-03 23:08:45.444713,0 days 00:00:14.478385,0.3001982687149878,138,0.0039954721173083955,1,3,COMPLETE
19,8.66359548385722,2024-10-03 23:08:45.445868,2024-10-03 23:09:00.450244,0 days 00:00:15.004376,0.287237162272069,142,0.0009667421268223949,2,3,COMPLETE
20,9.771003569403367,2024-10-03 23:09:00.451430,2024-10-03 23:09:17.580695,0 days 00:00:17.129265,0.29430469160553235,252,0.0003005388539593824,1,3,COMPLETE
21,8.378654020481255,2024-10-03 23:09:17.586087,2024-10-03 23:09:32.368677,0 days 00:00:14.782590,0.2746917875301534,141,0.003300789342919588,2,3,COMPLETE
22,9.212924989239268,2024-10-03 23:09:32.368677,2024-10-03 23:09:46.906091,0 days 00:00:14.537414,0.1112781901914549,143,0.003598342557827879,2,2,COMPLETE
23,8.826811358442772,2024-10-03 23:09:46.914098,2024-10-03 23:10:02.574179,0 days 00:00:15.660081,0.20940741086513004,190,0.0011527984828864242,1,3,COMPLETE
24,9.99180039187446,2024-10-03 23:10:02.574179,2024-10-03 23:10:15.273454,0 days 00:00:12.699275,0.2995625499804143,80,0.009914746033698407,2,3,COMPLETE
25,7.736855085112413,2024-10-03 23:10:15.274645,2024-10-03 23:10:28.977287,0 days 00:00:13.702642,0.07213924235794222,129,0.0038392226258731166,1,2,COMPLETE
26,9.505167816403503,2024-10-03 23:10:28.977287,2024-10-03 23:10:44.223525,0 days 00:00:15.246238,0.07076362490725452,226,0.0016302002405792159,1,2,COMPLETE
27,8.223569971027903,2024-10-03 23:10:44.223525,2024-10-03 23:10:55.865922,0 days 00:00:11.642397,0.16898398051675245,37,0.004460123947128231,1,2,COMPLETE
28,9.82732061508372,2024-10-03 23:10:55.865922,2024-10-03 23:11:08.013484,0 days 00:00:12.147562,0.08671948513689497,77,0.00045355680157633697,1,2,COMPLETE
29,8.483752610672616,2024-10-03 23:11:08.013484,2024-10-03 23:11:20.261650,0 days 00:00:12.248166,0.15601892650774352,121,0.006164902921678557,1,1,COMPLETE
