Date,No
2018-01-01,371.5817082129081
2018-01-02,337.2559315726417
2018-01-03,347.3874127659436
2018-01-04,352.94639702154865
2018-01-05,336.71336226600226
2018-01-06,372.51580247709956
2018-01-07,389.703238705896
2018-01-08,372.51910640150606
2018-01-09,333.05125600894894
2018-01-10,322.31675257246184
2018-01-11,347.44859914625204
2018-01-12,367.7026050167829
2018-01-13,386.1779102771955
2018-01-14,395.6391058597749
2018-01-15,362.21342247096317
2018-01-16,350.9294090006943
2018-01-17,341.6561516297562
2018-01-18,335.8812563312426
2018-01-19,362.8543309948276
2018-01-20,396.43450158727416
2018-01-21,405.6740793565322
2018-01-22,381.58027283251516
2018-01-23,375.4633236573782
2018-01-24,377.8558302423037
2018-01-25,393.62699095073896
2018-01-26,411.0523980650892
2018-01-27,429.6995416507711
2018-01-28,491.6492958505863
2018-01-29,395.1883884433711
2018-01-30,389.4718273544732
2018-01-31,375.5895214459915
2018-02-01,371.1467106014116
2018-02-02,379.2043061446079
2018-02-03,411.7563552881971
2018-02-04,433.8722473791141
2018-02-05,368.79403213302163
2018-02-06,371.48620688936643
2018-02-07,372.2565552790482
2018-02-08,395.442971870424
2018-02-09,429.13046841864184
2018-02-10,451.1886021829949
2018-02-11,481.0869350679937
2018-02-12,379.69165942038865
2018-02-13,369.00398317768554
2018-02-14,399.38585498099195
2018-02-15,386.140995460696
2018-02-16,429.83738902152015
2018-02-17,444.20127346684967
2018-02-18,476.8980184644553
2018-02-19,541.9563356682738
2018-02-20,472.73874378641165
2018-02-21,409.8570481540578
2018-02-22,452.29343107149793
2018-02-23,466.9439538016991
2018-02-24,453.8594154269399
2018-02-25,480.1468085593887
2018-02-26,452.98297065080965
2018-02-27,428.5087047650247
2018-02-28,390.79990658294565
2018-03-01,362.63941928292115
2018-03-02,417.08126972614843
2018-03-03,426.19150761334186
2018-03-04,427.4486931256478
2018-03-05,367.0101446736588
2018-03-06,367.8507206967267
2018-03-07,393.27799980646535
2018-03-08,353.49741862339965
2018-03-09,386.04138911537814
2018-03-10,402.4924639687585
2018-03-11,406.118103869312
2018-03-12,389.5424822848503
2018-03-13,365.6511505451041
2018-03-14,384.517008871537
2018-03-15,367.06788295015934
2018-03-16,387.94311108725833
2018-03-17,365.5793919749056
2018-03-18,438.5901347653747
2018-03-19,405.9927792925158
2018-03-20,373.8939718670861
2018-03-21,380.182060521471
2018-03-22,342.93294404459215
2018-03-23,368.18074677520104
2018-03-24,387.2142716395512
2018-03-25,384.2379633421048
2018-03-26,394.5768351290901
2018-03-27,353.2981588397733
2018-03-28,351.47586803051894
2018-03-29,350.9006616405839
2018-03-30,355.3711669061951
2018-03-31,388.5569371264565
2018-04-01,429.2795814856946
2018-04-02,389.6518484054791
2018-04-03,366.12798899055025
2018-04-04,372.82628796018946
2018-04-05,356.6558007495108
2018-04-06,377.04852111096557
2018-04-07,367.3301978554165
2018-04-08,408.7430076429776
2018-04-09,399.4223664054891
2018-04-10,364.2989243866334
2018-04-11,337.2025890119107
2018-04-12,361.577048185551
2018-04-13,366.1270895602379
2018-04-14,360.17824499851935
2018-04-15,406.9532934966707
2018-04-16,382.2399094220711
2018-04-17,350.81690798911814
2018-04-18,328.9901231290752
2018-04-19,330.0660173851846
2018-04-20,345.1195677983765
2018-04-21,358.77126574327923
2018-04-22,385.8340687201983
2018-04-23,358.61783295644955
2018-04-24,331.84995793907524
2018-04-25,323.9725331611538
2018-04-26,308.989091675486
2018-04-27,336.31326440220545
2018-04-28,353.61256657857336
2018-04-29,387.96757060960545
2018-04-30,359.10766289071853
2018-05-01,340.44812808249526
2018-05-02,331.923440881204
2018-05-03,326.20568404189197
2018-05-04,348.6699943051275
2018-05-05,359.9617774627196
2018-05-06,364.82921605226693
2018-05-07,367.7506892604676
2018-05-08,334.7385554122957
2018-05-09,323.455793650433
2018-05-10,315.6171409422711
2018-05-11,346.5736576421476
2018-05-12,362.8161142672832
2018-05-13,405.0212705060669
2018-05-14,350.3182176143834
2018-05-15,327.76386313612755
2018-05-16,311.274417622027
2018-05-17,296.5102464923596
2018-05-18,342.44806610221707
2018-05-19,346.80518871233573
2018-05-20,364.90455438997685
2018-05-21,341.7218668043613
2018-05-22,346.5197650191265
2018-05-23,339.21889368976474
2018-05-24,344.64692990591686
2018-05-25,353.2181686529708
2018-05-26,353.34948809423327
2018-05-27,392.51000164510043
2018-05-28,373.4364303119929
2018-05-29,349.68506006998416
2018-05-30,352.0275764931393
2018-05-31,333.27714156200716
2018-06-01,352.12821239590767
2018-06-02,407.17364264741883
2018-06-03,402.46567451412454
2018-06-04,379.41180935666137
2018-06-05,352.6695053287137
2018-06-06,330.56927445078117
2018-06-07,335.6427855992755
2018-06-08,324.1567326025829
2018-06-09,349.9693334666847
2018-06-10,409.59094036793255
2018-06-11,385.6333164270822
2018-06-12,335.855194085477
2018-06-13,350.63999638961593
2018-06-14,329.8908914307008
2018-06-15,354.710871122579
2018-06-16,364.93897814219133
2018-06-17,386.891139770138
2018-06-18,405.74013721084174
2018-06-19,367.50484980382686
2018-06-20,334.9183404113788
2018-06-21,330.6744314031762
2018-06-22,358.7528887237555
2018-06-23,369.94384423367916
2018-06-24,400.75276474031506
2018-06-25,345.5679764244519
2018-06-26,308.12300825461983
2018-06-27,299.4493650694718
2018-06-28,302.57481982664603
2018-06-29,320.4120095267176
2018-06-30,344.4365268147283
2018-07-01,339.8867843180663
2018-07-02,373.1017523981586
