number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_learning_rate,params_num_decoder_layers,params_num_encoder_layers,state
0,7.377138287775344,2024-10-03 22:31:56.750762,2024-10-03 22:32:23.054122,0 days 00:00:26.303360,0.12481491235394922,108,0.0071144760093434225,3,3,COMPLETE
1,14.890558135537265,2024-10-03 22:32:23.063627,2024-10-03 22:32:49.999760,0 days 00:00:26.936133,0.5664580622368364,56,1.493656855461762e-05,3,4,COMPLETE
2,6.358993194405412,2024-10-03 22:32:49.999760,2024-10-03 22:33:15.937087,0 days 00:00:25.937327,0.1454599737656805,24,0.008123245085588688,1,4,COMPLETE
3,7.955470329560471,2024-10-03 22:33:15.937087,2024-10-03 22:33:42.412364,0 days 00:00:26.475277,0.23298331215843354,63,8.17949947521167e-05,2,3,COMPLETE
4,8.390437218424058,2024-10-03 22:33:42.412364,2024-10-03 22:34:09.784172,0 days 00:00:27.371808,0.3648559873736288,165,2.621087878265438e-05,2,2,COMPLETE
5,7.141632940484567,2024-10-03 22:34:09.784172,2024-10-03 22:34:39.383653,0 days 00:00:29.599481,0.03716033017599818,206,3.972110727381908e-05,3,3,COMPLETE
6,9.624793607076567,2024-10-03 22:34:39.383653,2024-10-03 22:35:07.425825,0 days 00:00:28.042172,0.7725056264596475,163,3.247673570627447e-05,4,1,COMPLETE
7,6.947211330874218,2024-10-03 22:35:07.425825,2024-10-03 22:35:35.208950,0 days 00:00:27.783125,0.35212199499168106,211,8.200518402245828e-05,3,1,COMPLETE
8,7.684126302356895,2024-10-03 22:35:35.208950,2024-10-03 22:35:53.205707,0 days 00:00:17.996757,0.20702398528001353,48,0.0003058656666978527,4,1,COMPLETE
9,7.451397789758329,2024-10-03 22:35:53.205707,2024-10-03 22:36:13.617372,0 days 00:00:20.411665,0.14788356442042164,177,8.612579192594876e-05,3,3,COMPLETE
10,6.905583502612377,2024-10-03 22:36:13.617372,2024-10-03 22:36:30.166720,0 days 00:00:16.549348,0.5214932406225429,111,0.006282693165407425,1,4,COMPLETE
11,6.710641606294867,2024-10-03 22:36:30.166720,2024-10-03 22:36:45.975352,0 days 00:00:15.808632,0.5907244357800168,111,0.008980923293478766,1,4,COMPLETE
12,6.39748433476415,2024-10-03 22:36:45.975352,2024-10-03 22:37:05.201384,0 days 00:00:19.226032,0.6668842424871647,27,0.0018825661854764404,1,4,COMPLETE
13,6.5491875398133566,2024-10-03 22:37:05.203260,2024-10-03 22:37:31.233059,0 days 00:00:26.029799,0.7571089378290901,24,0.0018946494590587914,1,4,COMPLETE
14,6.5463992350502425,2024-10-03 22:37:31.233059,2024-10-03 22:37:56.366601,0 days 00:00:25.133542,0.6516873443102535,30,0.001171142666747359,2,2,COMPLETE
15,6.685232829593881,2024-10-03 22:37:56.366601,2024-10-03 22:38:25.249150,0 days 00:00:28.882549,0.46325456093062595,248,0.002069134639321997,1,4,COMPLETE
16,6.375218552747381,2024-10-03 22:38:25.259151,2024-10-03 22:38:50.686624,0 days 00:00:25.427473,0.3207647757456352,79,0.0005912343841637216,1,4,COMPLETE
17,7.0763057510187535,2024-10-03 22:38:50.686624,2024-10-03 22:39:16.010422,0 days 00:00:25.323798,0.2885936169686335,82,0.00043466094661538256,2,2,COMPLETE
18,6.5152371610032525,2024-10-03 22:39:16.011229,2024-10-03 22:39:42.167435,0 days 00:00:26.156206,0.037311342324539046,83,0.000496259436766124,1,3,COMPLETE
19,6.283951837800636,2024-10-03 22:39:42.167435,2024-10-03 22:40:09.808007,0 days 00:00:27.640572,0.43481734965055696,133,0.0035075078168853987,2,4,COMPLETE
20,6.096177641085346,2024-10-03 22:40:09.808007,2024-10-03 22:40:33.956926,0 days 00:00:24.148919,0.4485092543013739,144,0.0038795554678184452,2,3,COMPLETE
21,6.626500138242536,2024-10-03 22:40:33.956926,2024-10-03 22:40:50.687653,0 days 00:00:16.730727,0.4615593391117423,138,0.004080635991023044,2,3,COMPLETE
22,6.629002342179535,2024-10-03 22:40:50.687653,2024-10-03 22:41:09.507973,0 days 00:00:18.820320,0.4817257099133789,140,0.003598342557827879,2,4,COMPLETE
23,6.348348825889026,2024-10-03 22:41:09.507973,2024-10-03 22:41:26.803154,0 days 00:00:17.295181,0.4163499425163062,136,0.0033771049146479387,2,3,COMPLETE
24,6.420234653902033,2024-10-03 22:41:26.803154,2024-10-03 22:41:50.981243,0 days 00:00:24.178089,0.41268281644611937,150,0.0009777758461853468,2,2,COMPLETE
25,6.49073439871341,2024-10-03 22:41:50.991245,2024-10-03 22:42:17.230586,0 days 00:00:26.239341,0.40665219774527867,122,0.0039058559507566424,2,3,COMPLETE
26,6.998726763756286,2024-10-03 22:42:17.230586,2024-10-03 22:42:45.044403,0 days 00:00:27.813817,0.26553811970539043,177,0.0002235126998180594,2,3,COMPLETE
27,7.0627144825244494,2024-10-03 22:42:45.044403,2024-10-03 22:43:12.710804,0 days 00:00:27.666401,0.5388290678025477,193,0.0010241584075392478,3,2,COMPLETE
28,6.164490573620175,2024-10-03 22:43:12.710804,2024-10-03 22:43:38.373822,0 days 00:00:25.663018,0.6201154572927462,125,0.0034830047631421498,2,3,COMPLETE
29,6.080510990215453,2024-10-03 22:43:38.373822,2024-10-03 22:44:04.103448,0 days 00:00:25.729626,0.6357764768003816,95,0.005742776318572443,2,3,COMPLETE
