Date,No
2018-01-01,209.15647154077695
2018-01-02,181.56735388704297
2018-01-03,207.04323798289255
2018-01-04,196.04981697970757
2018-01-05,208.3210005308346
2018-01-06,216.72976993582404
2018-01-07,251.65428368986014
2018-01-08,183.49735733795706
2018-01-09,186.60404966305828
2018-01-10,188.9012139058023
2018-01-11,181.8805512681036
2018-01-12,201.3637053092291
2018-01-13,201.84971684420532
2018-01-14,269.11646458815693
2018-01-15,201.82613084531368
2018-01-16,177.68680816926985
2018-01-17,194.2078088756741
2018-01-18,197.79066703279295
2018-01-19,179.30804349510413
2018-01-20,221.73402280909838
2018-01-21,275.47454270162393
2018-01-22,190.77439053639296
2018-01-23,173.96834494748708
2018-01-24,202.3894232906118
2018-01-25,187.91310111853787
2018-01-26,209.94937414664642
2018-01-27,243.18735629228107
2018-01-28,290.23509388009023
2018-01-29,218.1956182174874
2018-01-30,219.06164057897328
2018-01-31,213.70822827568193
2018-02-01,232.2511387075844
2018-02-02,231.4651403036094
2018-02-03,260.553397436601
2018-02-04,303.9444185220214
2018-02-05,193.63766132345108
2018-02-06,191.20392945281864
2018-02-07,206.4571148345625
2018-02-08,205.56825280289314
2018-02-09,219.71046057433026
2018-02-10,251.20706503890978
2018-02-11,282.807517874416
2018-02-12,190.13818552537055
2018-02-13,223.4356564084786
2018-02-14,251.79261853706822
2018-02-15,244.9085855731301
2018-02-16,256.45663099233326
2018-02-17,300.3423727290993
2018-02-18,320.5358290260189
2018-02-19,319.5383974630813
2018-02-20,262.80157392820314
2018-02-21,238.06428136970015
2018-02-22,231.38225440265174
2018-02-23,214.02826768965244
2018-02-24,222.75611436850494
2018-02-25,300.4124406081304
2018-02-26,198.40602820255953
2018-02-27,185.3125842831448
2018-02-28,174.58196954427578
2018-03-01,171.49013672035258
2018-03-02,180.32586410024186
2018-03-03,174.95104245114638
2018-03-04,255.71180969772266
2018-03-05,209.69511429097415
2018-03-06,179.1714695671348
2018-03-07,185.220800530865
2018-03-08,190.08339607773573
2018-03-09,185.8316121835409
2018-03-10,202.2645714207033
2018-03-11,242.6772022502053
2018-03-12,193.22927049925678
2018-03-13,200.13992790245007
2018-03-14,174.8138975467604
2018-03-15,179.9074802854211
2018-03-16,199.6462195690064
2018-03-17,199.1020384727023
2018-03-18,241.28893360900472
2018-03-19,208.41511891001613
2018-03-20,162.65098048102683
2018-03-21,181.44953821654806
2018-03-22,156.3411030048543
2018-03-23,165.03171611660767
2018-03-24,216.76009388459667
2018-03-25,269.20015785528665
2018-03-26,193.84416243572196
2018-03-27,177.56203440112623
2018-03-28,179.01732610685542
2018-03-29,172.7555067254692
2018-03-30,188.53499404430644
2018-03-31,203.60520543289783
2018-04-01,261.83054855299076
2018-04-02,201.80434100049874
2018-04-03,194.25945096696393
2018-04-04,171.29115725776458
2018-04-05,179.31138866695264
2018-04-06,171.74208703422116
2018-04-07,203.4162234083283
2018-04-08,247.31181597372088
2018-04-09,197.00445280564563
2018-04-10,192.67254459590143
2018-04-11,184.38746941696382
2018-04-12,176.89329385463122
2018-04-13,177.02744705425394
2018-04-14,211.44490202333748
2018-04-15,261.97797541404873
2018-04-16,167.33829852104188
2018-04-17,174.99215603312499
2018-04-18,170.64839741309828
2018-04-19,176.612363836596
2018-04-20,173.96272814785794
2018-04-21,204.0595693740302
2018-04-22,250.5742866101758
2018-04-23,183.7502779907812
2018-04-24,180.70750030681816
2018-04-25,174.46065871257753
2018-04-26,159.9417362529424
2018-04-27,173.0288576188845
2018-04-28,214.48749186988
2018-04-29,247.00750136060728
2018-04-30,171.62147095776172
2018-05-01,168.59166807046506
2018-05-02,146.94403628964653
2018-05-03,186.89585268481866
2018-05-04,169.43745485311928
2018-05-05,176.97589175749778
2018-05-06,230.6025355179599
2018-05-07,188.4513611369174
2018-05-08,196.96871551328638
2018-05-09,187.63190068239697
2018-05-10,174.5266227160201
2018-05-11,195.71477461927162
2018-05-12,230.9281535877876
2018-05-13,258.0468397405963
2018-05-14,210.4558353283761
2018-05-15,201.6319777701159
2018-05-16,178.12173722543642
2018-05-17,159.31465910432857
2018-05-18,189.51882749399587
2018-05-19,204.23758690328265
2018-05-20,247.30372258573772
2018-05-21,184.04039070728345
2018-05-22,159.51587223625884
2018-05-23,150.6806522806068
2018-05-24,180.52364419844938
2018-05-25,166.38789642659393
2018-05-26,203.012149414131
2018-05-27,233.87010429207686
2018-05-28,186.63548429226614
2018-05-29,197.80669228015216
2018-05-30,172.3505825275601
2018-05-31,182.37511100403572
2018-06-01,191.37285744991019
2018-06-02,207.84467596818865
2018-06-03,258.877104377607
2018-06-04,198.85114205768485
2018-06-05,177.4010069924536
2018-06-06,175.00766508302848
2018-06-07,152.9960052012086
2018-06-08,152.87281001881402
2018-06-09,214.14641925262018
2018-06-10,260.2959919462599
2018-06-11,176.7743757548203
2018-06-12,171.41078015389215
2018-06-13,182.552132503201
2018-06-14,173.30148179613985
2018-06-15,171.90266471409385
2018-06-16,212.7485743783542
2018-06-17,249.94545681666676
2018-06-18,199.496255555067
2018-06-19,184.75156284196464
2018-06-20,185.81173695999266
2018-06-21,193.9566312437583
2018-06-22,186.87799026717215
2018-06-23,226.0732285306057
2018-06-24,266.56937945820295
2018-06-25,210.7372161539054
2018-06-26,219.9077956333517
2018-06-27,196.95780205263426
2018-06-28,181.29177244164833
2018-06-29,183.01520866431977
2018-06-30,221.02703995205638
2018-07-01,268.94789654131824
2018-07-02,197.4676857899442
2018-07-03,185.53067373731153
2018-07-04,182.6423895689017
2018-07-05,166.60898606143562
2018-07-06,173.39271239563283
2018-07-07,232.19593869078233
2018-07-08,274.0674636583039
2018-07-09,192.02122667597303
2018-07-10,173.75655984613928
2018-07-11,171.16048260123335
2018-07-12,164.96054094596516
2018-07-13,193.01434935643883
2018-07-14,217.06779278361103
2018-07-15,291.54296080993544
2018-07-16,187.22944153385328
2018-07-17,174.18277419686098
2018-07-18,188.87073240511032
2018-07-19,175.87320717304442
2018-07-20,168.1146328217511
2018-07-21,206.08823346809726
2018-07-22,257.9642662297902
2018-07-23,204.4123030580705
2018-07-24,166.4228991614966
2018-07-25,167.5970724837039
2018-07-26,178.8195146548834
2018-07-27,164.10382932112745
2018-07-28,200.90447250408087
2018-07-29,242.28382341457572
2018-07-30,209.25165483390748
2018-07-31,188.8899606704795
2018-08-01,168.25657475323305
2018-08-02,167.34648375788933
2018-08-03,178.54326858361173
2018-08-04,210.75992599461011
2018-08-05,239.0236640492077
2018-08-06,202.30296233253708
2018-08-07,175.11747005668002
2018-08-08,196.04318601028606
2018-08-09,192.78426211562052
2018-08-10,192.86422288947418
2018-08-11,208.8515846101149
2018-08-12,248.7146592424064
2018-08-13,184.4242119312699
2018-08-14,164.34087749327986
2018-08-15,175.6320524655533
2018-08-16,157.93634975812552
2018-08-17,173.85489499023726
2018-08-18,184.10650587454538
2018-08-19,224.62305230076691
2018-08-20,188.32783019575706
2018-08-21,173.52300678642777
2018-08-22,175.63326437439034
2018-08-23,155.1652216937223
2018-08-24,178.4978291744981
2018-08-25,204.11562099902542
2018-08-26,241.02022533140305
2018-08-27,190.2233381242821
2018-08-28,174.345069939136
2018-08-29,176.02325222401964
2018-08-30,165.0937343463638
2018-08-31,165.4218865837128
2018-09-01,194.05857521478143
2018-09-02,237.752148734561
2018-09-03,190.67181692499094
2018-09-04,165.86562466371592
2018-09-05,176.19224699571956
2018-09-06,168.73124072038405
2018-09-07,172.4325314755497
2018-09-08,194.89030451130287
2018-09-09,258.38997644624567
2018-09-10,182.75732136779243
2018-09-11,189.74191983789206
2018-09-12,163.9184361556292
2018-09-13,162.22607833287904
2018-09-14,188.48720452088486
2018-09-15,221.3201279532658
2018-09-16,250.4670556396758
2018-09-17,190.15463991980883
2018-09-18,181.6738335163148
2018-09-19,177.47647316411104
2018-09-20,190.25394548344315
2018-09-21,186.60742073604916
2018-09-22,205.3272486178396
2018-09-23,236.54835643556623
2018-09-24,234.34206328792928
2018-09-25,200.91320506130708
2018-09-26,180.41778277710375
2018-09-27,192.2314242710022
2018-09-28,181.04047015118795
2018-09-29,205.19323859226452
2018-09-30,246.2634336880076
2018-10-01,212.40749457703265
2018-10-02,178.90673550317226
2018-10-03,181.27225216230275
2018-10-04,194.49711608572915
2018-10-05,198.19274956624147
